country,start_date,estatus,effective_date,delay,entidad
Argentina,2003 (Proyecto de ley de EE perdió estado parlamentario por falta de tratamiento en las cámaras del Congreso); 2017 se retoma el análisis.,En proceso de elaboración,No fue promulgada,indeterminado,• Ministerio de Energía y Minería • Secretaría de Planeamiento Energético Estratégico • Subsecretaría de Ahorro y Eficiencia Energética • Instituto Argentino de Normalización (IRAM) • Instituto Argentino de Normalización (IRAM) • Departamento de Energía y Ambiente del Instituto Nacional de Tecnología Industrial (INTI) • Departamento de Energía y Ambiente del Instituto Nacional de Tecnología Industrial (INTI) 
Barbados,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,• División de Energía de la Oficina del Primer Ministro del Gobierno de Barbados • Barbados Association of Energy Professionals (BAEP)
Belice,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,"• Comisión de Servicios Públicos del Ministerio de Energía, Ciencia y Tecnología y Servicios Públicos (Ministry of Energy, Science & Technology and Public Utilities)"
Bolivia,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,• Ministerio de Hidrocarburos y Energía (Viceministerio de Desarrollo Energético) • Red Boliviana de Eficiencia Energética • Centro de Promoción de Tecnologías Sostenibles • Instituto Boliviano de Normalización y Calidad (IBNORCA) (Comité de Eficiencia Energética)
Brasil,"Ley 9.991/00 - Año 2000 - Determinaba la aplicación del 0,5% de las ventas netas de electricidad de las empresas distribuidoras hasta 2015 y del 0,25% a partir de 2016, a proyectos de eficiencia energética destinados al uso final de la electricidad.  Ley de Eficiencia Energética N° 10.295/01 - Año 2001: permitía al Gobierno Federal establecer niveles mínimos de eficiencia - o consumos máximos - para equipos que eran fabricados o vendidos en Brasil.  En 2010 el Gobierno aprobó la Ley Nº 12.212 que estableció la aplicación de al menos 60% de los recursos en los programas de eficiencia energética para consumidores residenciales de bajos ingresos que se beneficiaban con la tarifa social. La misma Ley estableció una nueva distribución en la asignación de recursos para I+D y eficiencia energética. Ley 13.280 del año 2016, eliminó la obligatoriedad del destino del 60% para baja renta y destinó un 20% de los recursos para el Programa Procel.",Se mantienen vigentes las leyes citadas,"2000, 2001, 2010 y 2016","La ley de EE del año 2001 respondió a una emergencia en la oferta de energía eléctrica en el país, por lo que tuvo una resolución expedita (dos meses entre publicación y reglamentación).","• Ministerio de Minas y Energía (MME) (Secretaría de Desarrollo y Planeamiento Energético, Departamento de Desarrollo Energético) • Agencia Nacional de Petróleo, Gas Natural y Biocombustibles (ANP) • Agencia Nacional de Energía Eléctrica (ANEEL) • Programa Nacional de Conservação de Energia Elétrica (PROCEL) • Programa Nacional da Racionalização do uso dos Derivados de Petróleo e do Gás Natural (CONPET) • Instituto Nacional de Metrologia, Qualidade e Tecnologia (INMETRO) (Programa Brasileño de Etiquetado) • Associação Brasileira de Normas Técnicas (ABNT)"
Chile,"Ley ""corta"" de Eficiencia Energética",En elaboración. Se espera que ingrese al Congreso en el primer semestre de 2017,Sin fecha cierta,indeterminado,• Ministerio de Energía • División de Eficiencia Energética • Agencia Chilena de Eficiencia Energética • Superintendencia de Electricidad y Combustibles
Colombia,"LEY 697 de 2001, mediante la cual se fomenta el uso racional y eficiente de la energía, se promueve la utilización de energías alternativas y se dictan otras disposiciones.
Reglamentada por el Decreto Nacional 3683 de 2003.
Ley 1715 del año 2014: en su capítulo V menciona la promoción de la eficiencia energética; creará el Fondo de Energías No Convencionales y Gestión Eficiente de la Energía, orientado a financiar los programas de eficiencia energética.",Vigentes,2001 (Ley 697) - 2014 (Ley 1715),"La ley 697 de 2001 tomó dos años entre su publicación en el Boletín Oficial y su reglamentación. Sobre la ley 1715/14, fue reglamentada parcialmente en noviembre de 2015.",Ministerio de Energía y Minas (Minminas) • Unidad de Planeación Minero-Energética (UPME) • Consejo Colombiano de Eficiencia Energética • Instituto Colombiano para el Desarrollo de las Ciencias y la Tecnología (COLCIENCIAS) • Asociación Nacional de Empresarios Industriales de Colombia (ANDI) • Instituto Colombiano de Normas Técnicas y Certificación (ICONTEC)
Costa Rica,"Ley 7447 de 1994, sobre regulación del uso racional de la energía.",Vigente,1994 - Reglamentada en 1996,Dos años,"• Ministerio de Ambiente, Energía y Telecomunicaciones (MINAET) • Secretaría de Planificación Sub-sectorial de Energía, Dirección Sectorial de Energía "
Ecuador,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,• Ministerio de Electricidad y Energía Renovable (MEER) • Instituto Nacional de Eficiencia Energética y Energía Renovable (INER) • Colegio de Ingenieros Eléctricos y Electrónicos de Pichincha (CIEEP) • Empresa Eléctrica de Quito (EEQ)
El Salvador,Anteproyecto de Ley de Eficiencia Energética en 2011 (con asistencia técnica del BID y de GIZ),En mayo 2013 estaba en revisión en la Asamblea Legislativa. En abril de 2014 se informa que el Ministerio de Economía (MINEC) y la Comisión Nacional de Energía (CNE) presentan nuevamente el AP de Ley a la Asamblea.,Se desconoce vigencia,indeterminado,• Consejo Nacional de Energía (CNE) (Dirección de Eficiencia Energética) • Asociación Salvadoreña de Industriales (ASI) • AES El Salvador • Centro Nacional de Producción Más Limpia (CNPML) • Fondo de Desarrollo Productivo (FONDEPRO) • Ministerio de Medio Ambiente y Recursos Naturales (MARN) • Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL) • Superintendencia General de Electricidad y Telecomunicaciones (SIGET) • Cámara de Comercio e Industria de El Salvador (CAMARASAL) • Organismo Salvadoreño de Acreditación (OSA) • Universidad Centroamericana José Simeón Cañas (UCA)
Guatemala ,Anteproyecto de Ley de Eficiencia Energética en 2012,"En principio, la ley de EE quedó subsumida en la ""Ley Marco para Regular la Reducción de la Vulnerabilidad, la Adaptación Obligatoria ante los Efectos del Cambio Climático y la Mitigación de Gases de Efecto Invernadero”, emitida en 2016. ",Se desconoce vigencia,indeterminado,• Ministerio de Ambiente y Recursos Naturales (MARN) • Ministerio de Energía y Minas (MEM) • Comisión Nacional de Energía Eléctrica (CNEE) • Instituto Nacional de Electrificación (INDE) • Comisión Guatemalteca de Normas (COGUANOR) • Cámara de Industrias de Guatemala (CIG) • Centro Guatemalteco de Producción más Limpia (CGP+L)
Guyana,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,• Agencia de Energía de Guyana (GEA) •Oficina del Primer Ministro (OPM) • Oficina Nacional de Normas de Guyana (GNBS)
Haití,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,"• Ministerio de Seguridad Energética de Haití (BMSE - siglas en francés) • Ministerio de Obras Públicas, Transporte, Energía y Comunicaciones"
Honduras,Proyecto de Ley de Uso Racional y Eficiente de la Energía (2017),En tratamiento en el Congreso,Sin fecha cierta,indeterminado,"• Secretaría de Recursos Naturales y Ambiente (SERNA) • Comisión Nacional de Energía (CNE) • Empresa Nacional de Energía Eléctrica (ENEE) • Grupo Interinstitucional de Uso Racional y Eficiente de Energía (GIURE) • Organismo Nacional de Normalización (OHN) • Consejo Empresarial Hondureño para el Desarrollo Sostenible (CEHDES) • Centro de Producción + Limpia de Honduras (CNP+LH) • Asociación Nacional de Industrias de Honduras (ANDI) • Colegio de Ingenieros Mecánicos, Electricistas y Químicos de Honduras (CIMEQH)"
Jamaica,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,"• Ministry of Science, Energy and Technology • Bureau of Standards Jamaica (Oficina de Estándares de Jamaica - BSJ) • Consejo de Energía de Jamaica (JEC) • Oficina Nacional de Eficiencia Energética (propuesta)"
México,No existe una Ley de EE específica - Están vigentes: a) Ley para el Aprovechamiento Sustentable de la Energía (LASE) de 2008 (incluye creación de CONUEE como continuación de CONAE) - b) Ley General de Cambio Climático (2012) complementaba acciones de eficiencia energética - c) Ley de Transición Energética (reglamentada en 2016).,Vigentes,"2008, 2012 y 2016 respectivamente",Ley LASE: un año,• Secretaria de Energía (SENER) • Comisión Nacional para el Uso Eficiente de la Energía (CONUEE) • Fideicomiso para el Ahorro de Electricidad (FIDE) • Oficina Regional de CEPAL • Oficina regional de GIZ
Nicaragua,En proceso de elaboración un Anteproyecto de Ley de Eficiencia Energética,Continúa este proceso,Sin fecha cierta,indeterminado,"• Ministerio de Energía y Minas (MEM) • Ministerio de Fomento, Industria y Comercio (MIFIC) • Centro de Producción más Limpia (CPML-N)"
Panamá,Ley 69 de Uso Racional y Eficiente de la Energía - 2012 - Fue reglamentada a fines de 2013 ,Vigente,2012,Un año ,• Secretaría Nacional de Energía (SNE) • Dirección General de Normas y Tecnología Industrial (DGNTI) • Comisión Panameña de Normas Industriales y Técnicas (COPANIT) • Autoridad Nacional del Ambiente (ANAM) • Consejo Nacional de la Empresa Privada (CoNEP)
Paraguay,Ley Marco de Uso Racional y Eficiente de la Energía para la República del Paraguay (en proceso de elaboración a 2016),Continúa este proceso,Sin fecha cierta,indeterminado,• Vice Ministerio de Minas y Energía del Ministerio de Obras Públicas y Comunicaciones (MOPC) • Administración Nacional de Electricidad (ANDE)
Perú, Ley Nº 27.345 de Promoción de Uso Eficiente de la Energía (año 2000). Reglamentada mediante el Decreto Supremo DS. Nº 053-2007-EM de 2007. ,Vigente,2000,Siete (7) años,"• Ministerio de Energía y Minas - Dirección General de Eficiencia Energética (MEM, DGEE) • Organismo Supervisor de la Inversión en Energía y Minería (OSINERGMIN) • Sociedad Nacional de Industrias (SNI) • Corporación Financiera de Desarrollo (COFIDE) • Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (INDECOPI) • Ministerio del Ambiente (MINAM) • CENERGÍA (Centro de Conservación de Energía y del Ambiente, ONG)"
República Dominicana,"A 2013 estaba en elaboración un proyecto de Ley de Eficiencia Energética, sin resultado concreto. Desde la creación de la Comisión Nacional de Energía (CNE), se trabaja con el apoyo de la Agencia de Cooperación Internacional de Japón (JICA) y la consultora alemana GFA en la preparción e implementación de la Ley de EE.",Continúa este proceso,Sin fecha cierta,indeterminado,• Ministerio de Energía y Minas • Comisión Nacional de Energía (CNE) • Corporación Dominicana de Empresas Eléctricas Estatales (CDEEE) • Superintendencia de Electricidad • Dirección General de Normas y Sistema de Calidad de República Dominicana • Ministerio de Industria y Comercio
Surinam,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,• Ministerio de Recursos Naturales • State Power Company (NV-EBS)
Trinidad y Tobago,No hay ley de EE ni anteproyectos,Sin actividad en el tema,No aplica,No aplica,"• Ministerio de Energía y de Asuntos Energéticos (MEEA) • Corporación Nacional de Energía de Trinidad y Tobago Limited (NEC) • Comité de Eficiencia Energética (Corporación Nacional de Energía de Trinidad-Tobago, la Cámara de Energía de TyT y, el Ministerio de Energía y de Asuntos Energéticos) • Oficina de Estándares de Trinidad y Tobago (TTBS)"
Uruguay,"Ley N° 18.597 de septiembre de 2009. Promoción del Uso Eficiente de la Energía. Creación de la Unidad de Eficiencia Energética dentro de la Dirección Nacional de Energía del Ministerio de Energía, Industria y Minería (MIEM).",Vigente,2009,en consulta,"• Ministerio de Industria, Energía y Minería (MIEM) • Dirección Nacional de Energía - División Eficiencia Energética •Administración Nacional de Usinas y Trasmisiones Eléctricas (UTE) • Administración Nacional de Combustibles Alcohol y Portland (ANCAP) • Dirección Nacional de Medio Ambiente (DINAMA) • Unidad Reguladora de Servicios de Energía y Agua (URSEA) • Universidad de la República Oriental del Uruguay (UdelAR) • Cámara de Industrias del Uruguay (CIU)"
Venezuela,Ley de Uso Racional y Eficiente de la Energía – N° 39.823 de 2011. ,Vigente,2011,indeterminado,• Ministerio del Poder Popular para la Energía Eléctrica (MPPEE) • Corporación Eléctrica Nacional (CORPOELEC) • Fundación para el Desarrollo del Servicio Eléctrico (FUNDELEC)
