 Pais ,Consumo Total Mcpd,Consumo Residencial Mpcd,Generacion Termica Mpcd,Consumo Industrial Mpcd,Vehicular Mpcd,,
Argentina ,4009.13,997.04,1757.63,842.13,412.3,,
Bahamas,,,,,,,
Barbados,,,,,,,
Belize,,,,,,,
Bolivia ,308.43,11.07,158.06,79.4,59.9,,
Brazil ,3500,34.9,1805.4,1094.9,256.25,,
Chile ,315.7,51.2,225.96,34.94,3.5,,
Colombia ,1169.1,154,681.8,251,82.34,,
Costa Rica,,,,,,,
Cuba,,5.8,73.4,37.3,,,
Ecuador ,,,62.90,1.16,,,
El Salvador,,,,,,,
Granada,,,,,,,
Guatemala,,,,,,,
Guyana ,,,,,,,
Haiti,,,,,,,
Honduras,,,,,,,
Jamaica,,,,,,,
Mexico ,5569.7,93.18,4030.1,1444.31,2.09,,
Nicaragua,,,,,,,
Panama,,,,,,,
Paraguay,,,,,,,
Peru ,714.00,7.0,507.8,124.63,74.55,,
Dominican Republic,22.60,,91.6,9.6,2.3,,
Suriname,,,,,,,
Trinidad and Tobago ,516.0,9.32,297.02,209.66,,,
Uruguay,,2.92,,0.5,,,
Venezuela ,,109.5,690.7,780.4,,,
