year,country,perc_cob,viv_ocup,viv_ocup_elec,deficit_viv,pob,hab_per_viv,rate_of_cov,pob_acceso,pob_no_acceso,perc_no_cob
1970,argentina,62.91,5716842.0,3596557.0,2120285.0,23662870.0,4.14,,14886312.0,8776558.0,37.09
1971,argentina,64.71,5821790.0,3767535.0,2054255.0,24027217.0,4.13,1.8,15549063.0,8478154.0,35.29
1972,argentina,66.49,5930102.0,3942828.0,1987274.0,24397174.0,4.11,1.78,16221283.0,8175891.0,33.51
1973,argentina,68.23,6041586.0,4122192.0,1919394.0,24772827.0,4.1,1.74,16902573.0,7870254.0,31.77
1974,argentina,69.94,6156075.0,4305357.0,1850718.0,25154264.0,4.09,1.71,17592067.0,7562197.0,30.06
1975,argentina,71.6,6273417.0,4492019.0,1781398.0,25541574.0,4.07,1.66,18288795.0,7252779.0,28.4
1976,argentina,73.23,6393485.0,4681849.0,1711636.0,25934848.0,4.06,1.63,18991683.0,6943165.0,26.77
1977,argentina,74.81,6516164.0,4874494.0,1641670.0,26334177.0,4.04,1.58,19699594.0,6634583.0,25.19
1978,argentina,76.33,6641361.0,5069574.0,1571787.0,26739655.0,4.03,1.52,20411277.0,6328378.0,23.67
1979,argentina,77.81,6768996.0,5266691.0,1502305.0,27151376.0,4.01,1.48,21125424.0,6025952.0,22.19
1980,argentina,79.22,6899004.0,5465428.0,1433576.0,27569437.0,4.0,1.41,21840656.0,5728781.0,20.78
1981,argentina,80.57,7031334.0,5665354.0,1365980.0,27993934.0,3.98,1.35,22555542.0,5438392.0,19.43
1982,argentina,81.88,7164063.0,5866029.0,1298034.0,28424968.0,3.97,1.31,23274738.0,5150230.0,18.12
1983,argentina,83.14,7297728.0,6067004.0,1230724.0,28862639.0,3.96,1.26,23995105.0,4867534.0,16.86
1984,argentina,84.33,7432817.0,6267829.0,1164988.0,29307048.0,3.94,1.19,24713586.0,4593462.0,15.67
1985,argentina,85.45,7569777.0,6468054.0,1101723.0,29758301.0,3.93,1.12,25427208.0,4331093.0,14.55
1986,argentina,86.49,7709011.0,6667235.0,1041776.0,30216501.0,3.92,1.04,26133120.0,4083381.0,13.51
