Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,62.91%,"5,716,842","3,596,557","2,120,285","23,662,870",4.14,," 14,886,312 ","8,776,558",,0,0,0
1971,64.71%,"5,821,790","3,767,535","2,054,255","24,027,217",4.13,1.80%,"15,549,063","8,478,154",,0,0,0
1972,66.49%,"5,930,102","3,942,828","1,987,274","24,397,174",4.11,1.78%,"16,221,283","8,175,891",,0,0,0
1973,68.23%,"6,041,586","4,122,192","1,919,394","24,772,827",4.1,1.74%,"16,902,573","7,870,254",,0,0,0
1974,69.94%,"6,156,075","4,305,357","1,850,718","25,154,264",4.09,1.71%,"17,592,067","7,562,197",,0,0,0
1975,71.60%,"6,273,417","4,492,019","1,781,398","25,541,574",4.07,1.66%,"18,288,795","7,252,779",,0,0,0
1976,73.23%,"6,393,485","4,681,849","1,711,636","25,934,848",4.06,1.63%,"18,991,683","6,943,165",,0,0,0
1977,74.81%,"6,516,164","4,874,494","1,641,670","26,334,177",4.04,1.58%,"19,699,594","6,634,583",,0,0,0
1978,76.33%,"6,641,361","5,069,574","1,571,787","26,739,655",4.03,1.52%,"20,411,277","6,328,378",,0,0,0
1979,77.81%,"6,768,996","5,266,691","1,502,305","27,151,376",4.01,1.48%,"21,125,424","6,025,952",,0,0,0
1980,79.22%,"6,899,004","5,465,428","1,433,576","27,569,437",4,1.41%,"21,840,656","5,728,781",0.00%,0,0,0
1981,80.57%,"7,031,334","5,665,354","1,365,980","27,993,934",3.98,1.35%,"22,555,542","5,438,392",0.00%,0,0,0
1982,81.88%,"7,164,063","5,866,029","1,298,034","28,424,968",3.97,1.31%,"23,274,738","5,150,230",0.00%,0,0,0
1983,83.14%,"7,297,728","6,067,004","1,230,724","28,862,639",3.96,1.26%,"23,995,105","4,867,534",0.00%,0,0,0
1984,84.33%,"7,432,817","6,267,829","1,164,988","29,307,048",3.94,1.19%,"24,713,586","4,593,462",0.00%,0,0,0
1985,85.45%,"7,569,777","6,468,054","1,101,723","29,758,301",3.93,1.12%,"25,427,208","4,331,093",0.00%,0,0,0
1986,86.49%,"7,709,011","6,667,235","1,041,776","30,216,501",3.92,1.04%,"26,133,120","4,083,381",0.00%,0,0,0
1987,87.44%,"7,850,884","6,864,939","985,945","30,681,757",3.91,0.95%,"26,828,621","3,853,136",0.00%,0,0,0
1988,88.31%,"7,995,725","7,060,743","934,982","31,154,176",3.9,0.87%,"27,511,155","3,643,021",0.00%,0,0,0
1989,89.08%,"8,143,828","7,254,243","889,585","31,633,870",3.88,0.77%,"28,178,368","3,455,502",0.00%,0,0,0
1990,89.75%,"8,295,458","7,445,052","850,406","32,120,949",3.87,0.67%,"28,828,081","3,292,868",0.00%,0,0,0
1991,89.63%,"8,515,441","7,632,808","882,633","32,615,528",3.83,-0.12%,"29,234,900","3,380,628",0.00%,0,0,0
1992,90.60%,"8,628,201","7,817,173","811,028","32,962,862",3.82,0.97%,"29,864,440","3,098,422",0.00%,0,0,0
1993,91.48%,"8,742,454","7,997,835","744,619","33,313,894",3.81,0.88%,"30,476,457","2,837,437",0.00%,0,0,0
1994,92.28%,"8,858,220","8,174,513","683,707","33,668,665",3.8,0.80%,"31,070,005","2,598,660",0.00%,0,0,0
1995,93.00%,"8,975,519","8,346,954","628,565","34,027,214",3.79,0.72%,"31,644,253","2,382,961",0.00%,0,0,0
