Año,% Cobertura,Viv ocup,Viv elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,53.06%,"57,613","30,570","27,043","238,746",4.14,,"126,681","112,065",,,,
1971,55.38%,"58,481","32,389","26,092","239,746",4.10,2.32%,"132,780","106,966",,0,0,0
1972,57.72%,"59,351","34,260","25,091","240,749",4.06,2.34%,"138,971","101,778",,0,0,0
1973,60.07%,"60,223","36,177","24,046","241,757",4.01,2.35%,"145,228","96,529",,0,0,0
1974,62.42%,"61,099","38,135","22,964","242,769",3.97,2.35%,"151,525","91,244",,0,0,0
1975,64.75%,"61,977","40,129","21,848","243,785",3.93,2.33%,"157,846","85,939",,0,0,0
1976,67.06%,"62,857","42,150","20,707","244,806",3.89,2.31%,"164,159","80,647",,0,0,0
1977,69.33%,"63,739","44,193","19,546","245,831",3.86,2.27%,"170,445","75,386",,0,0,0
1978,71.57%,"64,621","46,250","18,371","246,860",3.82,2.24%,"176,681","70,179",,0,0,0
1979,73.77%,"65,490","48,313","17,177","247,893",3.79,2.20%,"182,875","65,018",,0,0,0
1980,75.90%,"66,370","50,375","15,995","248,931",3.75,2.13%,"188,939","59,992",0.00%,0,0,0
1981,77.95%,"67,256","52,428","14,828","249,973",3.72,2.05%,"194,861","55,112",0.00%,0,0,0
1982,79.93%,"68,143","54,465","13,678","251,019",3.68,1.98%,"200,633","50,386",0.00%,0,0,0
1983,81.82%,"69,027","56,479","12,548","252,070",3.65,1.89%,"206,248","45,822",0.00%,0,0,0
1984,83.63%,"69,907","58,462","11,445","253,125",3.62,1.81%,"211,684","41,441",0.00%,0,0,0
1985,85.35%,"70,782","60,409","10,373","254,185",3.59,1.72%,"216,935","37,250",0.00%,0,0,0
1986,86.97%,"71,651","62,312","9,339","255,249",3.56,1.62%,"221,980","33,269",0.00%,0,0,0
1987,88.49%,"72,516","64,168","8,348","256,318",3.53,1.52%,"226,811","29,507",0.00%,0,0,0
1988,89.91%,"73,376","65,971","7,405","257,391",3.51,1.42%,"231,415","25,976",0.00%,0,0,0
1989,91.22%,"74,233","67,716","6,517","258,468",3.48,1.31%,"235,777","22,691",0.00%,0,0,0
1990,92.58%,"75,211","69,630","5,581","259,550",3.45,1.36%,"240,290","19,260",0.00%,0,0,0
1991,92.94%,"75,975","70,615","5,360","260,460",3.43,0.36%,"242,085","18,375",0.00%,0,0,0
1992,93.31%,"76,746","71,613","5,133","261,373",3.41,0.37%,"243,892","17,481",0.00%,0,0,0
1993,93.68%,"77,525","72,626","4,899","262,289",3.38,0.37%,"245,714","16,575",0.00%,0,0,0
1994,94.05%,"78,312","73,652","4,660","263,208",3.36,0.37%,"247,546","15,662",0.00%,0,0,0
