Año,% Cobertura,Viv ocup,Viv elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,32.53%,"18,052","5,872","12,180","108,697",6.02,,"35,357","73,340",,,,
1971,34.04%,"18,695","6,363","12,332","111,610",5.97,1.51%,"37,987","73,623",,,,
1972,35.59%,"19,361","6,891","12,470","114,600",5.92,3.56%,"40,789","73,811",,,,
1973,37.19%,"20,050","7,457","12,593","117,671",5.87,3.56%,"43,764","73,907",,,,
1974,38.84%,"20,764","8,064","12,700","120,823",5.82,3.56%,"46,923","73,900",,,,
1975,40.52%,"21,503","8,713","12,790","124,061",5.77,3.56%,"50,269","73,792",,,,
1976,42.24%,"22,269","9,407","12,862","127,385",5.72,3.56%,"53,811","73,574",,,,
1977,44.00%,"23,062","10,147","12,915","130,798",5.67,3.56%,"57,550","73,248",,,,
1978,45.78%,"23,883","10,935","12,948","134,302",5.62,3.56%,"61,491","72,811",,,,
1979,47.59%,"24,733","11,771","12,962","137,901",5.58,3.56%,"65,630","72,271",,,,
1980,49.41%,"25,618","12,658","12,960","141,595",5.53,3.58%,"69,963","71,632",0.00%,,,
1981,51.26%,"26,527","13,597","12,930","145,389",5.48,3.55%,"74,522","70,867",0.00%,,,
1982,53.10%,"27,470","14,587","12,883","149,285",5.43,3.55%,"79,273","70,012",0.00%,,,
1983,54.94%,"28,448","15,629","12,819","153,284",5.39,3.56%,"84,212","69,072",0.00%,,,
1984,56.76%,"29,462","16,723","12,739","157,391",5.34,3.56%,"89,337","68,054",0.00%,,,
1985,58.56%,"30,512","17,869","12,643","161,608",5.30,3.56%,"94,644","66,964",0.00%,,,
1986,60.33%,"31,600","19,065","12,535","165,938",5.25,3.57%,"100,114","65,824",0.00%,,,
1987,62.06%,"32,727","20,310","12,417","170,384",5.21,3.57%,"105,738","64,646",0.00%,,,
1988,63.73%,"33,893","21,602","12,291","174,949",5.16,3.56%,"111,505","63,444",0.00%,,,
1989,65.35%,"35,100","22,937","12,163","179,637",5.12,3.56%,"117,388","62,249",0.00%,,,
1990,66.97%,"36,308","24,315","11,993","184,450",5.08,3.44%,"123,524","60,926",0.00%,,,
1991,67.15%,"37,658","25,289","12,369","189,392",5.03,3.72%,"127,185","62,207",0.00%,,,
1992,68.69%,"38,992","26,785","12,207","194,460",4.99,3.54%,"133,582","60,878",0.00%,,,
1993,70.27%,"40,373","28,369","12,004","199,664",4.95,3.54%,"140,298","59,366",0.00%,,,
1994,71.88%,"41,803","30,047","11,756","205,007",4.90,3.54%,"147,354","57,653",0.00%,,,
1995,73.53%,"43,283","31,824","11,459","210,492",4.86,3.54%,"154,765","55,727",0.00%,,,
1996,75.21%,"44,816","33,707","11,109","216,125",4.82,3.54%,"162,552","53,573",0.00%,,,
1997,76.93%,"46,403","35,700","10,703","221,909",4.78,3.54%,"170,725","51,184",0.00%,,,
1998,78.70%,"48,047","37,812","10,235","227,847",4.74,3.54%,"179,311","48,536",0.00%,,,
1999,80.50%,"49,749","40,048","9,701","233,944",4.70,3.54%,"188,325","45,619",0.00%,,,
2000,81.66%,"51,945","42,417","9,528","240,204",4.62,4.41%,"196,145","44,059",0.00%,,,
2001,81.10%,"53,022","42,999","10,023","246,624",4.65,2.07%,"200,003","46,621",0.00%,,,
2002,81.31%,"54,739","44,508","10,231","253,215",4.63,3.24%,"205,888","47,327",0.00%,,,
2003,81.51%,"56,468","46,027","10,441","259,982",4.60,3.16%,"211,911","48,071",0.00%,,,
2004,81.70%,"58,201","47,551","10,650","266,930",4.59,3.07%,"218,085","48,845",0.00%,,,
2005,81.89%,"59,927","49,075","10,852","274,064",4.57,2.97%,"224,435","49,629",0.00%,,,
2006,84.63%,"61,637","52,166","9,471","281,389",4.57,2.85%,"238,151","43,238",0.00%,,,
2007,84.70%,"63,322","53,632","9,690","288,909",4.56,2.73%,"244,698","44,211",0.00%,,,
2008,85.43%,"64,978","55,512","9,466","296,631",4.57,2.62%,"253,418","43,213",0.00%,,,
2009,85.42%,"66,602","56,890","9,712","304,558",4.57,2.50%,"260,147","44,411",0.00%,,,
2010,89.10%,"68,201","58,217","9,984","312,698",4.58,2.40%,"266,922","45,776",0.00%,,,
2011,92.94%,"69,280","64,389","4,891","318,000",4.59,1.58%,"295,550","22,450",0.00%,,,
2012,93.00%,"70,328","65,405","4,923","324,000",4.61,1.51%,"301,320","22,680",0.00%,0,0,0
2013,93.00%,"71,392","66,394","4,997","328,901",4.61,1.51%,"305,878","23,023",0.00%,0,0,0
2014,93.00%,"72,472","67,399","5,073","333,876",4.61,1.51%,"310,505","23,371",0.00%,0,0,0
2015,93.00%,"77,937","72,481","5,456","359,290",4.61,7.54%,"334,140","25,150",2.66%,"77,937","72,481",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,2.66%,"77,937","72,481",15
