Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,30.00%,"934,261","280,278","653,983","4,075,546",4.36,,"1,222,662","2,852,884",,,,
1971,30.52%,"959,966","293,005","666,961","4,160,625",4.33,0.52%,"1,269,924","2,890,701",,,,
1972,31.05%,"986,377","306,309","680,068","4,247,481",4.31,0.53%,"1,319,011","2,928,470",,,,
1973,31.60%,"1,013,455","320,218","693,237","4,336,150",4.28,0.55%,"1,370,079","2,966,071",,,,
1974,32.15%,"1,041,161","334,759","706,402","4,426,670",4.25,0.55%,"1,423,284","3,003,386",,,,
1975,32.72%,"1,069,458","349,959","719,499","4,519,080",4.23,0.57%,"1,478,780","3,040,300",,,,
1976,33.93%,"1,078,101","365,850","712,251","4,613,419",4.28,1.21%,"1,565,548","3,047,871",,,,
1977,34.59%,"1,105,679","382,462","723,217","4,709,727",4.26,0.66%,"1,629,127","3,080,600",,,,
1978,35.26%,"1,133,962","399,829","734,133","4,808,046",4.24,0.67%,"1,695,292","3,112,754",,,,
1979,35.94%,"1,162,968","417,984","744,984","4,908,417",4.22,0.68%,"1,764,141","3,144,276",,,,
1980,36.64%,"1,192,717","436,963","755,754","5,010,884",4.20,0.70%,"1,835,784","3,175,100",0.00%,,,
1981,37.34%,"1,223,226","456,805","766,421","5,115,489",4.18,0.70%,"1,910,343","3,205,146",0.00%,,,
1982,38.07%,"1,254,516","477,547","776,969","5,222,279",4.16,0.73%,"1,987,925","3,234,354",0.00%,,,
1983,38.80%,"1,286,607","499,231","787,376","5,331,297",4.14,0.73%,"2,068,657","3,262,640",0.00%,,,
1984,39.55%,"1,319,518","521,900","797,618","5,442,592",4.12,0.75%,"2,152,671","3,289,921",0.00%,,,
1985,40.32%,"1,353,271","545,598","807,673","5,556,209",4.11,0.77%,"2,240,096","3,316,113",0.00%,,,
1986,41.10%,"1,387,888","570,373","817,515","5,672,199",4.09,0.78%,"2,331,074","3,341,125",0.00%,,,
1987,41.89%,"1,423,390","596,272","827,118","5,790,610",4.07,0.79%,"2,425,743","3,364,867",0.00%,,,
1988,42.70%,"1,459,800","623,347","836,453","5,911,493",4.05,0.81%,"2,524,258","3,387,235",0.00%,,,
1989,43.53%,"1,497,141","651,651","845,490","6,034,899",4.03,0.83%,"2,626,772","3,408,127",0.00%,,,
1990,44.37%,"1,535,438","681,241","854,197","6,160,882",4.01,0.84%,"2,733,452","3,427,430",0.00%,,,
1991,45.23%,"1,574,714","712,175","862,539","6,289,495",3.99,0.86%,"2,844,466","3,445,029",0.00%,,,
1992,46.10%,"1,614,995","744,513","870,482","6,420,792",3.98,0.87%,"2,959,986","3,460,806",0.00%,,,
1993,47.16%,"1,666,035","785,666","880,369","6,604,300",3.96,1.06%,"3,114,445","3,489,855",0.00%,,,
1994,48.24%,"1,718,688","829,093","889,595","6,793,054",3.95,1.08%,"3,276,961","3,516,093",0.00%,,,
1995,49.35%,"1,773,005","874,921","898,084","6,987,201",3.94,1.11%,"3,447,959","3,539,242",0.00%,,,
1996,50.48%,"1,829,039","923,283","905,756","7,186,898",3.93,1.13%,"3,627,884","3,559,014",0.00%,,,
1997,51.64%,"1,886,844","974,317","912,527","7,392,302",3.92,1.16%,"3,817,192","3,575,110",0.00%,,,
1998,52.82%,"1,946,475","1,028,172","918,303","7,603,576",3.91,1.18%,"4,016,380","3,587,196",0.00%,,,
1999,54.03%,"2,007,991","1,085,004","922,987","7,820,889",3.89,1.21%,"4,225,963","3,594,926",0.00%,,,
2000,55.27%,"2,071,451","1,144,978","926,473","8,044,413",3.88,1.24%,"4,446,485","3,597,928",0.00%,,,
2001,56.54%,"2,136,917","1,208,267","928,650","8,274,325",3.87,1.27%,"4,678,513","3,595,812",0.00%,,,
2002,58.53%,"2,178,591","1,275,054","903,537","8,489,599",3.90,1.99%,"4,968,669","3,520,930",0.00%,,,
2003,60.58%,"2,221,077","1,345,532","875,545","8,710,475",3.92,2.05%,"5,276,820","3,433,655",0.00%,,,
2004,62.71%,"2,264,392","1,419,906","844,486","8,937,096",3.95,2.13%,"5,604,081","3,333,015",0.00%,,,
2005,64.91%,"2,308,552","1,498,392","810,160","9,169,614",3.97,2.20%,"5,951,643","3,217,971",0.00%,,,
2006,67.18%,"2,353,573","1,581,215","772,358","9,408,182",4.00,2.27%,"6,320,755","3,087,427",0.00%,,,
2007,69.54%,"2,399,472","1,668,617","730,855","9,652,956",4.02,2.36%,"6,712,763","2,940,193",0.00%,,,
2008,71.98%,"2,446,266","1,760,849","685,417","9,904,098",4.05,2.44%,"7,129,078","2,775,020",0.00%,,,
2009,74.51%,"2,493,972","1,858,180","635,792","10,161,775",4.07,2.53%,"7,571,219","2,590,556",0.00%,,,
2010,77.10%,"2,542,609","1,960,891","581,718","10,426,155",4.10,2.59%,"8,040,778","2,385,377",0.00%,,,
2011,79.78%,"2,458,925","1,961,730","497,195","10,147,440",4.13,2.68%,"8,095,626","2,051,814",0.00%,,,
2012,82.59%,"2,481,248","2,049,263","431,985","10,305,000",4.15,2.81%,"8,510,901","1,794,099",0.00%,0,0,0
2013,82.59%,"2,550,971","2,106,847","444,124","10,594,571",4.15,0.00%,"8,750,056","1,844,515",0.00%,0,0,0
2014,85.66%,"2,550,971","2,185,162","365,809","10,594,571",4.15,3.07%,"9,075,309","1,519,261",0.00%,0,0,0
2015,88.00%,"2,584,265","2,274,153","310,112","10,724,700",4.15,2.34%,"9,437,736","1,286,964",1.13%,"2,584,265","2,274,153",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,1.13%,"2,584,265","2,274,153",15
