Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,47.55%,"17,630,700","8,383,970","9,246,730","93,134,846",5.28,,"44,288,642","48,846,204",,,,
1971,49.32%,"18,272,628","9,012,234","9,260,394","95,446,435",5.22,1.77%,"47,075,090","48,371,345",,,,
1972,51.15%,"18,937,929","9,687,578","9,250,351","97,815,396",5.17,1.83%,"50,036,848","47,778,548",,,,
1973,53.06%,"19,627,453","10,413,530","9,213,923","100,243,155",5.11,1.91%,"53,184,950","47,058,205",,,,
1974,55.03%,"20,342,083","11,193,882","9,148,201","102,731,171",5.05,1.97%,"56,531,114","46,200,057",,,,
1975,57.07%,"21,082,732","12,032,711","9,050,021","105,280,938",4.99,2.04%,"60,087,806","45,193,132",,,,
1976,59.20%,"21,850,348","12,934,398","8,915,950","107,893,991",4.94,2.13%,"63,868,265","44,025,726",,,,
1977,61.40%,"22,645,912","13,903,655","8,742,257","110,571,898",4.88,2.20%,"67,886,580","42,685,318",,,,
1978,63.68%,"23,470,443","14,945,545","8,524,898","113,316,271",4.83,2.28%,"72,157,710","41,158,561",,,,
1979,66.05%,"24,324,994","16,065,509","8,259,485","116,128,759",4.77,2.37%,"76,697,557","39,431,202",,,,
1980,68.50%,"25,210,660","17,269,400","7,941,260","119,011,052",4.72,2.45%,"81,523,033","37,488,019",0.00%,,,
1981,70.00%,"25,955,949","18,168,437","7,787,512","121,305,219",4.67,1.50%,"84,910,254","36,394,965",0.00%,,,
1982,71.53%,"26,723,270","19,114,277","7,608,993","123,643,611",4.63,1.53%,"88,438,212","35,205,399",0.00%,,,
1983,73.09%,"27,513,275","20,109,357","7,403,918","126,027,080",4.58,1.56%,"92,112,754","33,914,326",0.00%,,,
1984,74.69%,"28,326,634","21,156,240","7,170,394","128,456,494",4.53,1.60%,"95,939,970","32,516,524",0.00%,,,
1985,76.32%,"29,164,039","22,257,624","6,906,415","130,932,740",4.49,1.63%,"99,926,204","31,006,536",0.00%,,,
1986,77.99%,"30,026,199","23,416,346","6,609,853","133,456,721",4.44,1.67%,"104,078,067","29,378,654",0.00%,,,
1987,79.69%,"30,913,846","24,635,389","6,278,457","136,029,356",4.40,1.70%,"108,402,432","27,626,924",0.00%,,,
1988,81.43%,"31,827,735","25,917,896","5,909,839","138,651,584",4.36,1.74%,"112,906,474","25,745,110",0.00%,,,
1989,83.21%,"32,768,640","27,267,169","5,501,471","141,324,361",4.31,1.78%,"117,597,655","23,726,706",0.00%,,,
1990,85.03%,"33,737,361","28,686,685","5,050,676","144,048,660",4.27,1.82%,"122,483,751","21,564,909",0.00%,,,
1991,86.89%,"34,734,720","30,180,100","4,554,620","146,825,475",4.23,1.86%,"127,572,858","19,252,617",0.00%,,,
1992,87.70%,"35,730,400","31,336,323","4,394,077","149,216,318",4.18,0.81%,"130,865,894","18,350,424",0.00%,,,
1993,88.52%,"36,754,622","32,536,842","4,217,780","151,646,093",4.13,0.82%,"134,243,932","17,402,161",0.00%,,,
1994,89.35%,"37,808,203","33,783,353","4,024,850","154,115,433",4.08,0.83%,"137,709,165","16,406,268",0.00%,,,
1995,90.19%,"38,891,986","35,077,619","3,814,367","156,624,983",4.03,0.84%,"141,263,845","15,361,138",0.00%,,,
1996,91.04%,"40,006,836","36,421,470","3,585,366","159,175,397",3.98,0.85%,"144,910,283","14,265,114",0.00%,,,
1997,91.89%,"41,153,643","37,816,805","3,336,838","161,767,341",3.93,0.85%,"148,650,849","13,116,492",0.00%,,,
1998,92.75%,"42,333,323","39,265,596","3,067,727","164,401,491",3.88,0.86%,"152,487,971","11,913,520",0.00%,,,
1999,93.62%,"43,546,819","40,769,891","2,776,928","167,078,535",3.84,0.87%,"156,424,139","10,654,396",0.00%,,,
2000,94.50%,"44,795,101","42,331,817","2,463,284","169,799,170",3.79,0.88%,"160,461,908","9,337,262",0.00%,,,
2001,94.92%,"45,913,589","43,579,115","2,334,474","171,786,797",3.74,0.42%,"163,052,306","8,734,491",0.00%,,,
2002,95.33%,"47,060,005","44,863,164","2,196,841","173,797,690",3.69,0.41%,"165,684,519","8,113,171",0.00%,,,
2003,95.75%,"48,235,045","46,185,048","2,049,997","175,832,123",3.65,0.42%,"168,359,230","7,472,893",0.00%,,,
2004,96.17%,"49,439,425","47,545,880","1,893,545","177,890,370",3.60,0.42%,"171,077,115","6,813,255",0.00%,,,
2005,96.59%,"50,673,877","48,946,809","1,727,068","179,972,710",3.55,0.42%,"173,838,877","6,133,833",0.00%,,,
2006,97.02%,"51,939,153","50,389,016","1,550,137","182,079,426",3.51,0.43%,"176,645,220","5,434,206",0.00%,,,
2007,97.44%,"53,236,020","51,873,718","1,362,302","184,210,802",3.46,0.42%,"179,496,874","4,713,928",0.00%,,,
2008,97.87%,"54,565,270","53,402,166","1,163,104","186,367,128",3.42,0.43%,"182,394,558","3,972,570",0.00%,,,
2009,98.30%,"55,927,709","54,975,649","952,060","188,548,695",3.37,0.43%,"185,339,022","3,209,673",0.00%,,,
2010,98.73%,"57,324,167","56,595,495","728,672","190,755,799",3.33,0.43%,"188,331,020","2,424,779",0.00%,,,
2011,98.73%,"59,919,486","59,158,509","760,977","196,812,000",3.28,0.00%,"194,312,489","2,499,511",0.00%,,,
2012,99.11%,"60,053,589","59,519,112","534,477","194,700,000",3.24,0.38%,"192,967,170","1,732,830",0.00%,0,0,0
2013,99.14%,"60,281,793","59,763,369","518,423","195,439,860",3.24,0.03%,"193,759,077","1,680,783",0.00%,0,0,0
2014,99.20%,"60,299,877","59,817,478","482,399","195,498,492",3.24,0.06%,"193,934,504","1,563,988",0.00%,0,0,0
2015,99.30%,"64,150,472","63,701,419","449,053","207,847,530",3.24,0.10%,"206,392,597","1,454,933",2.39%,"64,150,472","63,701,419",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,2.39%,"64,150,472","63,701,419",15
