Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,53.70%,"1,567,791","841,946","725,845","9,358,170",5.97,,"5,025,589","4,332,581",,,,
1971,55.77%,"1,619,824","903,328","716,496","9,510,465",5.87,2.07%,"5,303,705","4,206,760",,,,
1972,57.86%,"1,673,290","968,091","705,199","9,665,239",5.78,2.09%,"5,591,876","4,073,363",,,,
1973,59.96%,"1,728,226","1,036,262","691,964","9,822,532",5.68,2.10%,"5,889,691","3,932,841",,,,
1974,62.08%,"1,784,679","1,107,846","676,833","9,982,384",5.59,2.12%,"6,196,601","3,785,783",,,,
1975,64.19%,"1,842,697","1,182,821","659,876","10,144,838",5.51,2.11%,"6,511,937","3,632,901",,,,
1976,66.29%,"1,902,320","1,261,137","641,183","10,309,935",5.42,2.10%,"6,834,939","3,474,996",,,,
1977,68.38%,"1,963,585","1,342,713","620,872","10,477,719",5.34,2.09%,"7,164,737","3,312,982",,,,
1978,70.44%,"2,026,518","1,427,437","599,081","10,648,234",5.25,2.06%,"7,500,394","3,147,840",,,,
1979,72.46%,"2,091,143","1,515,165","575,978","10,821,524",5.17,2.02%,"7,840,877","2,980,647",,,,
1980,74.43%,"2,157,476","1,605,717","551,759","10,997,634",5.10,1.97%,"8,185,068","2,812,566",0.00%,,,
1981,76.35%,"2,225,117","1,698,882","526,235","11,176,610",5.02,1.92%,"8,533,368","2,643,242",0.00%,,,
1982,78.19%,"2,294,888","1,794,416","500,472","11,358,499",4.95,1.84%,"8,881,424","2,477,075",0.00%,,,
1983,79.95%,"2,366,642","1,892,045","474,597","11,543,347",4.88,1.76%,"9,228,490","2,314,857",0.00%,,,
1984,81.61%,"2,440,282","1,991,465","448,817","11,731,204",4.81,1.66%,"9,573,599","2,157,605",0.00%,,,
1985,83.17%,"2,515,751","2,092,351","423,400","11,922,118",4.74,1.56%,"9,915,630","2,006,488",0.00%,,,
1986,84.63%,"2,593,028","2,194,355","398,673","12,116,139",4.67,1.46%,"10,253,306","1,862,833",0.00%,,,
1987,85.97%,"2,672,123","2,297,113","375,010","12,313,318",4.61,1.34%,"10,585,247","1,728,071",0.00%,,,
1988,87.18%,"2,753,068","2,400,249","352,819","12,513,705",4.55,1.21%,"10,910,013","1,603,692",0.00%,,,
1989,88.27%,"2,835,917","2,503,385","332,532","12,717,354",4.48,1.09%,"11,226,151","1,491,203",0.00%,,,
1990,89.23%,"2,920,738","2,606,140","314,598","12,924,316",4.43,0.96%,"11,532,214","1,392,102",0.00%,,,
