Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,51.1%,"3,421,856","1,747,931","1,673,925","20,391,613",5.96,,"10,416,316","9,975,297",,,,
1971,51.2%,"3,561,921","1,822,382","1,739,539","20,926,159",5.87,0.08%,"10,706,429","10,219,730",,,,
1972,52.0%,"3,707,719","1,928,372","1,779,347","21,474,718",5.79,0.85%,"11,168,928","10,305,790",,,,
1973,52.3%,"3,859,485","2,019,282","1,840,203","22,037,657",5.71,0.31%,"11,530,099","10,507,558",,,,
1974,54.1%,"4,017,463","2,173,524","1,843,939","22,615,353",5.63,1.78%,"12,235,337","10,380,016",,,,
1975,55.9%,"4,181,907","2,339,548","1,842,359","23,208,192",5.55,1.84%,"12,983,713","10,224,479",,,,
1976,57.9%,"4,353,083","2,518,253","1,834,830","23,816,572",5.47,1.91%,"13,777,857","10,038,715",,,,
1977,59.8%,"4,531,265","2,710,609","1,820,656","24,440,900",5.39,1.97%,"14,620,580","9,820,320",,,,
1978,61.9%,"4,716,741","2,917,658","1,799,083","25,081,595",5.32,2.04%,"15,514,847","9,566,748",,,,
1979,64.0%,"4,909,808","3,140,522","1,769,286","25,739,084",5.24,2.10%,"16,463,813","9,275,271",,,,
1980,66.1%,"5,110,779","3,380,409","1,730,370","26,413,809",5.17,2.18%,"17,470,816","8,942,993",0.00%,,,
1981,68.4%,"5,319,975","3,638,620","1,681,355","27,106,221",5.10,2.26%,"18,539,418","8,566,803",0.00%,,,
1982,70.7%,"5,537,735","3,916,554","1,621,181","27,816,784",5.02,2.32%,"19,673,375","8,143,409",0.00%,,,
1983,73.1%,"5,764,408","4,215,718","1,548,690","28,545,974",4.95,2.41%,"20,876,693","7,669,281",0.00%,,,
1984,75.6%,"6,000,359","4,537,734","1,462,625","29,294,279",4.88,2.49%,"22,153,615","7,140,664",0.00%,,,
1985,78.2%,"6,245,968","4,884,347","1,361,621","30,062,200",4.81,2.58%,"23,508,641","6,553,559",0.00%,,,
1986,79.1%,"6,475,317","5,122,672","1,352,645","30,896,564",4.77,0.91%,"24,442,504","6,454,060",0.00%,,,
1987,80.0%,"6,713,087","5,372,625","1,340,462","31,754,086",4.73,0.92%,"25,413,464","6,340,622",0.00%,,,
1988,81.0%,"6,959,588","5,634,774","1,324,814","32,635,408",4.69,0.93%,"26,422,993","6,212,415",0.00%,,,
1989,81.9%,"7,215,141","5,909,715","1,305,426","33,541,190",4.65,0.95%,"27,472,626","6,068,564",0.00%,,,
1990,82.9%,"7,480,077","6,198,070","1,282,007","34,472,112",4.61,0.95%,"28,563,952","5,908,160",0.00%,,,
1991,83.8%,"7,754,741","6,500,496","1,254,245","35,428,872",4.57,0.97%,"29,698,637","5,730,235",0.00%,,,
1992,84.8%,"8,039,491","6,817,678","1,221,813","36,412,186",4.53,0.97%,"30,878,393","5,533,793",0.00%,,,
1993,85.8%,"8,334,697","7,150,337","1,184,360","37,422,791",4.49,0.99%,"32,105,014","5,317,777",0.00%,,,
1994,86.4%,"8,473,603","7,322,478","1,151,125","37,850,357",4.47,0.63%,"32,708,448","5,141,909",0.00%,,,
1995,87.0%,"8,614,824","7,498,763","1,116,061","38,282,807",4.44,0.62%,"33,323,222","4,959,585",0.00%,,,
1996,87.7%,"8,758,399","7,679,292","1,079,107","38,720,199",4.42,0.64%,"33,949,551","4,770,648",0.00%,,,
1997,88.3%,"8,904,366","7,864,167","1,040,199","39,162,588",4.40,0.64%,"34,587,654","4,574,934",0.00%,,,
1998,89.0%,"9,052,766","8,053,493","999,273","39,610,031",4.38,0.64%,"35,237,750","4,372,281",0.00%,,,
1999,89.6%,"9,203,639","8,247,377","956,262","40,062,586",4.35,0.65%,"35,900,066","4,162,520",0.00%,,,
2000,90.3%,"9,357,027","8,445,929","911,098","40,520,312",4.33,0.65%,"36,574,831","3,945,481",0.00%,,,
2001,90.9%,"9,512,971","8,649,260","863,711","40,983,268",4.31,0.66%,"37,262,275","3,720,993",0.00%,,,
2002,91.6%,"9,671,514","8,857,487","814,027","41,451,513",4.29,0.66%,"37,962,643","3,488,870",0.00%,,,
2003,92.3%,"9,832,699","9,070,727","761,972","41,925,108",4.26,0.67%,"38,676,177","3,248,931",0.00%,,,
2004,92.9%,"9,996,571","9,289,100","707,471","42,404,113",4.24,0.67%,"39,403,116","3,000,997",0.00%,,,
2005,93.6%,"10,163,173","9,512,730","650,443","42,888,592",4.22,0.68%,"40,143,722","2,744,870",0.00%,,,
2006,94.3%,"10,323,773","9,733,145","590,628","43,341,746",4.20,0.68%,"40,862,144","2,479,602",0.00%,,,
2007,94.8%,"10,486,910","9,944,870","542,040","43,799,688",4.18,0.55%,"41,535,801","2,263,887",0.00%,,,
2008,95.2%,"10,652,625","10,140,962","511,663","44,262,468",4.16,0.37%,"42,136,469","2,125,999",0.00%,,,
2009,95.4%,"10,820,959","10,321,610","499,349","44,730,139",4.13,0.19%,"42,666,001","2,064,138",0.00%,,,
2010,95.4%,"10,991,953","10,487,214","504,739","45,202,750",4.11,0.02%,"43,127,087","2,075,663",0.00%,,,
2011,95.4%,"11,510,942","10,984,892","526,050","47,093,000",4.09,0.02%,"44,940,850","2,152,150",0.00%,,,
2012,95.6%,"11,734,711","11,214,863","519,848","47,761,000",4.07,0.14%,"45,645,186","2,115,814",0.00%,0,0,0
2013,96.5%,"11,751,140","11,343,375","407,765","47,827,865",4.07,0.96%,"46,168,238","1,659,627",0.00%,0,0,0
2014,96.7%,"11,863,951","11,468,881","395,070","48,287,013",4.07,0.14%,"46,679,055","1,607,958",0.00%,0,0,0
2015,97.0%,"11,849,803","11,489,569","360,234","48,228,700",4.07,0.29%,"46,762,548","1,466,152",1.55%,"11,849,803","11,489,569",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
