Año,% Cobertura,Viv ocup,Viv elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,47.3%,"302,230",143076,"159,154","1,758,042",5.82,,"832,257","925,785",,,,
1971,49.3%,"313,268",154316,"158,952","1,802,710",5.75,1.92%,"888,015","914,695",,,,
1972,51.0%,"324,751",165688,"159,063","1,848,163",5.69,1.76%,"942,933","905,230",,,,
1973,54.9%,"330,857",181541,"149,316","1,894,821",5.73,3.85%,"1,039,688","855,133",,,,
1974,55.9%,"351,105",196303,"154,802","1,941,532",5.53,1.04%,"1,085,511","856,021",,,,
1975,57.7%,"364,833",210582,"154,251","1,992,353",5.46,1.81%,"1,149,986","842,367",,,,
1976,59.3%,"379,770",225090,"154,680","2,048,114",5.39,1.55%,"1,213,917","834,197",,,,
1977,61.7%,"395,760",244342,"151,418","2,106,889",5.32,2.47%,"1,300,793","806,096",,,,
1978,64.2%,"412,848",264966,"147,882","2,169,565",5.26,2.44%,"1,392,427","777,138",,,,
1979,67.0%,"431,042",288583,"142,459","2,234,514",5.18,2.77%,"1,496,007","738,507",,,,
1980,70.6%,"450,321",318107,"132,214","2,301,984",5.11,3.69%,"1,626,121","675,863",0.00%,,,
1981,72.9%,"470,646",343101,"127,545","2,372,045",5.04,2.26%,"1,729,221","642,824",0.00%,,,
1982,74.3%,"491,988",365498,"126,490","2,443,151",4.97,1.39%,"1,815,017","628,134",0.00%,,,
1983,74.6%,"514,334",383436,"130,898","2,514,478",4.89,0.26%,"1,874,543","639,935",0.00%,,,
1984,81.6%,"500,030",407824,"92,206","2,404,530",4.81,7.01%,"1,961,135","443,395",0.00%,,,
1985,83.5%,"504,188",420896,"83,292","2,665,985",5.29,1.92%,"2,225,564","440,421",0.00%,,,
1986,84.8%,"528,954",448553,"80,401","2,746,223",5.19,1.32%,"2,328,797","417,426",0.00%,,,
1987,86.0%,"560,313",481869,"78,444","2,823,981",5.04,1.20%,"2,428,624","395,357",0.00%,,,
1988,87.2%,"595,017",518855,"76,162","2,900,901",4.88,1.20%,"2,529,586","371,315",0.00%,,,
1989,88.4%,"609,678",539016,"70,662","2,976,989",4.88,1.21%,"2,631,956","345,033",0.00%,,,
1990,90.0%,"641,155",576847,"64,308","3,050,556",4.76,1.56%,"2,744,585","305,971",0.00%,,,
1991,91.2%,"668,270",609730,"58,540","3,121,666",4.67,1.27%,"2,848,208","273,458",0.00%,,,
1992,92.4%,"720,360",665613,"54,747","3,191,249",4.43,1.16%,"2,948,714","242,535",0.00%,,,
1993,92.5%,"758,932",702240,"56,692","3,274,971",4.32,0.13%,"3,030,331","244,640",0.00%,,,
1994,92.7%,"794,959",736609,"58,350","3,372,604",4.24,0.13%,"3,125,055","247,549",0.00%,,,
1995,92.7%,"809,434",750345,"59,089","3,469,787",4.29,0.04%,"3,216,493","253,294",0.00%,,,
1996,93.0%,"821,044",763407,"57,637","3,564,631",4.34,0.28%,"3,314,394","250,237",0.00%,,,
1997,93.3%,"832,653",776449,"56,204","3,656,519",4.39,0.27%,"3,409,704","246,815",0.00%,,,
1998,94.1%,"873,829",822535,"51,294","3,747,006",4.29,0.88%,"3,527,057","219,949",0.00%,,,
1999,94.4%,"919,684",868550,"51,134","3,837,674",4.17,0.31%,"3,624,299","213,375",0.00%,,,
2000,97.1%,"1,034,893",1004467,"30,426","3,925,331",3.79,2.62%,"3,809,926","115,405",0.00%,,,
2001,97.3%,"956,033",929933,"26,100","4,008,265",4.19,0.21%,"3,898,839","109,426",0.00%,,,
2002,97.5%,"975,435",950952,"24,483","4,089,609",4.19,0.22%,"3,986,960","102,649",0.00%,,,
2003,97.7%,"994,545",971670,"22,875","4,169,730",4.19,0.21%,"4,073,826","95,904",0.00%,,,
2004,97.9%,"1,013,328",992149,"21,179","4,248,481",4.19,0.21%,"4,159,688","88,793",0.00%,,,
2005,98.1%,"1,030,467",1011197,"19,270","4,273,858",4.15,0.22%,"4,193,937","79,921",0.00%,,,
2006,98.4%,"1,045,621",1028368,"17,253","4,299,234",4.11,0.22%,"4,228,297","70,937",0.00%,,,
2007,98.6%,"1,060,775",1045606,"15,169","4,323,715",4.08,0.22%,"4,261,886","61,829",0.00%,,,
2008,98.6%,"1,084,622",1069654,"14,968","4,423,655",4.08,0.05%,"4,362,609","61,046",0.00%,,,
2009,99.0%,"1,096,935",1085746,"11,189","4,481,498",4.09,0.36%,"4,435,787","45,711",0.00%,,,
2010,99.1%,"1,111,262",1101372,"9,890","4,563,538",4.11,0.13%,"4,522,923","40,615",0.00%,,,
2011,99.2%,"1,151,771","1,143,018","8,753","4,733,780",4.11,0.13%,"4,697,805","35,975",0.00%,,,
2012,99.33%,"1,168,370","1,160,542","7,828","4,802,000",4.11,0.09%,"4,769,827","32,173",0.00%,0,0,0
2013,99.38%,"1,169,422","1,162,171","7,250","4,806,322",4.11,0.05%,"4,776,523","29,799",0.00%,0,0,0
2014,99.43%,"1,170,006","1,163,337","6,669","4,808,725",4.11,0.05%,"4,781,315","27,410",0.00%,0,0,0
2015,99.30%,"1,169,793","1,161,605","8,189","4,807,850",4.11,-0.13%,"4,774,195","33,655",1.28%,"1,169,793","1,161,605",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,1.28%,"1,169,793","1,161,605",15
