Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,50.85%,"1,200,058","610,204","589,854","6,569,652",5.47,,"3,340,528","3,229,124",,,,
1971,52.90%,"1,233,156","652,302","580,854","6,697,111",5.43,2.05%,"3,542,568","3,154,543",,,,
1972,53.64%,"1,267,374","679,763","587,611","6,827,044",5.39,0.74%,"3,661,723","3,165,321",,,,
1973,54.36%,"1,302,703","708,121","594,582","6,959,497",5.34,0.72%,"3,783,031","3,176,466",,,,
1974,55.06%,"1,339,138","737,382","601,756","7,094,520",5.30,0.70%,"3,906,521","3,187,999",,,,
1975,55.75%,"1,376,675","767,552","609,123","7,232,163",5.25,0.69%,"4,032,223","3,199,940",,,,
1976,56.43%,"1,415,315","798,634","616,681","7,372,476",5.21,0.68%,"4,160,141","3,212,335",,,,
1977,57.09%,"1,455,060","830,631","624,429","7,515,512",5.17,0.66%,"4,290,282","3,225,230",,,,
1978,57.73%,"1,495,916","863,540","632,376","7,661,322",5.12,0.64%,"4,422,613","3,238,709",,,,
1979,58.35%,"1,537,891","897,360","640,531","7,809,962",5.08,0.62%,"4,557,116","3,252,846",,,,
1980,58.96%,"1,580,997","932,083","648,914","7,961,485",5.04,0.61%,"4,693,725","3,267,760",0.00%,,,
1981,59.56%,"1,624,746","967,702","657,044","8,115,948",5.00,0.60%,"4,833,875","3,282,073",0.00%,,,
1982,60.16%,"1,669,283","1,004,206","665,077","8,273,408",4.96,0.60%,"4,977,111","3,296,297",0.00%,,,
1983,60.74%,"1,714,747","1,041,580","673,167","8,433,922",4.92,0.58%,"5,122,974","3,310,948",0.00%,,,
1984,62.23%,"1,761,271","1,096,114","665,157","8,597,551",4.88,1.49%,"5,350,622","3,246,929",0.00%,,,
1985,64.11%,"1,808,979","1,159,710","649,269","8,764,355",4.84,1.88%,"5,618,700","3,145,655",0.00%,,,
1986,66.11%,"1,857,993","1,228,314","629,679","8,934,394",4.81,2.00%,"5,906,503","3,027,891",0.00%,,,
1987,67.90%,"1,908,426","1,295,904","612,522","9,107,733",4.77,1.79%,"6,184,546","2,923,187",0.00%,,,
1988,69.09%,"1,960,387","1,354,411","605,976","9,284,434",4.74,1.19%,"6,414,519","2,869,915",0.00%,,,
1989,71.95%,"2,013,981","1,449,043","564,938","9,464,564",4.70,2.86%,"6,809,677","2,654,887",0.00%,,,
1990,74.68%,"2,088,655","1,559,822","528,833","9,648,189",4.62,2.73%,"7,205,334","2,442,855",0.00%,,,
1991,75.93%,"2,148,379","1,631,326","517,053","9,853,035",4.59,1.25%,"7,481,693","2,371,342",0.00%,,,
1992,77.21%,"2,209,811","1,706,107","503,704","10,062,231",4.55,1.28%,"7,768,648","2,293,583",0.00%,,,
1993,78.50%,"2,273,000","1,784,317","488,683","10,275,868",4.52,1.29%,"8,066,611","2,209,257",0.00%,,,
1994,79.82%,"2,337,996","1,866,112","471,884","10,494,041",4.49,1.32%,"8,376,001","2,118,040",0.00%,,,
1995,81.16%,"2,404,850","1,951,656","453,194","10,716,846",4.46,1.34%,"8,697,256","2,019,590",0.00%,,,
1996,82.52%,"2,473,615","2,041,122","432,493","10,944,382",4.42,1.36%,"9,030,839","1,913,543",0.00%,,,
