Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,50.03%,"26,757","13,386","13,371","94,093",3.52,,"47,073","47,020",,,,
1971,50.02%,"26,777","13,393","13,384","93,627",3.50,-0.01%,"46,829","46,798",,,,
1972,50.29%,"26,644","13,401","13,243","93,162",3.50,0.27%,"46,857","46,305",,,,
1973,50.28%,"26,665","13,408","13,257","92,701",3.48,-0.01%,"46,613","46,088",,,,
1974,50.56%,"26,532","13,415","13,117","92,241",3.48,0.28%,"46,639","45,602",,,,
1975,50.55%,"26,554","13,423","13,131","91,784",3.46,-0.01%,"46,397","45,387",,,,
1976,50.83%,"26,422","13,430","12,992","91,329",3.46,0.28%,"46,421","44,908",,,,
1977,50.81%,"26,444","13,437","13,007","90,876",3.44,-0.02%,"46,177","44,699",,,,
1978,51.10%,"26,313","13,445","12,868","90,426",3.44,0.29%,"46,204","44,222",,,,
1979,51.08%,"26,336","13,452","12,884","89,978",3.42,-0.02%,"45,959","44,019",,,,
1980,51.44%,"26,165","13,459","12,706","89,532",3.42,0.36%,"46,054","43,478",0.00%,,,
1981,51.80%,"25,995","13,467","12,528","89,088",3.43,0.36%,"46,153","42,935",0.00%,,,
1982,51.55%,"26,139","13,474","12,665","89,718",3.43,-0.25%,"46,247","43,471",0.00%,,,
1983,51.29%,"26,284","13,481","12,803","90,353",3.44,-0.26%,"46,342","44,011",0.00%,,,
1984,51.04%,"26,429","13,489","12,940","90,993",3.44,-0.25%,"46,442","44,551",0.00%,,,
1985,50.79%,"26,575","13,496","13,079","91,637",3.45,-0.25%,"46,537","45,100",0.00%,,,
1986,50.53%,"26,722","13,503","13,219","92,285",3.45,-0.26%,"46,633","45,652",0.00%,,,
1987,50.28%,"26,870","13,511","13,359","92,938",3.46,-0.25%,"46,732","46,206",0.00%,,,
1988,50.03%,"27,018","13,518","13,500","93,596",3.46,-0.25%,"46,829","46,767",0.00%,,,
1989,49.79%,"27,167","13,526","13,641","94,258",3.47,-0.24%,"46,929","47,329",0.00%,,,
1990,49.54%,"27,318","13,533","13,785","94,925",3.47,-0.25%,"47,025","47,900",0.00%,,,
1991,49.46%,"27,469","13,585","13,884","95,597",3.48,-0.08%,"47,278","48,319",0.00%,,,
1992,52.46%,"27,635","14,497","13,138","96,325",3.49,3.00%,"50,531","45,794",0.00%,,,
1993,55.64%,"27,803","15,470","12,333","97,058",3.49,3.18%,"54,005","43,053",0.00%,,,
1994,59.02%,"27,972","16,507","11,465","97,797",3.50,3.38%,"57,713","40,084",0.00%,,,
1995,62.60%,"28,141","17,615","10,526","98,542",3.50,3.58%,"61,683","36,859",0.00%,,,
1996,66.39%,"28,312","18,797","9,515","99,292",3.51,3.79%,"65,922","33,370",0.00%,,,
1997,70.42%,"28,484","20,058","8,426","100,048",3.51,4.03%,"70,452","29,596",0.00%,,,
1998,74.69%,"28,656","21,404","7,252","100,810",3.52,4.27%,"75,298","25,512",0.00%,,,
1999,79.22%,"28,830","22,840","5,990","101,577",3.52,4.53%,"80,472","21,105",0.00%,,,
2000,84.03%,"29,005","24,372","4,633","102,351",3.53,4.81%,"86,002","16,349",0.00%,,,
2001,89.12%,"29,181","26,007","3,174","103,130",3.53,5.09%,"91,913","11,217",0.00%,,,
2002,90.51%,"29,231","26,456","2,775","103,466",3.54,1.39%,"93,644","9,822",0.00%,,,
2003,91.45%,"29,281","26,776","2,505","103,803",3.55,0.94%,"94,923","8,880",0.00%,,,
2004,92.31%,"29,331","27,076","2,255","104,141",3.55,0.86%,"96,135","8,006",0.00%,,,
2005,93.11%,"29,382","27,356","2,026","104,480",3.56,0.80%,"97,276","7,204",0.00%,,,
2006,93.83%,"29,432","27,615","1,817","104,821",3.56,0.72%,"98,350","6,471",0.00%,,,
2007,94.47%,"29,482","27,853","1,629","105,162",3.57,0.64%,"99,351","5,811",0.00%,,,
2008,95.05%,"29,533","28,072","1,461","105,505",3.57,0.58%,"100,286","5,219",0.00%,,,
2009,95.56%,"29,584","28,271","1,313","105,848",3.58,0.51%,"101,150","4,698",0.00%,,,
2010,96.01%,"29,634","28,451","1,183","106,193",3.58,0.45%,"101,954","4,239",0.00%,,,
2011,96.46%,"29,256","28,221","1,035","105,000",3.59,0.45%,"101,285","3,715",0.00%,,,
2012,96.70%,"29,211","28,247",964,"105,000",3.59,0.24%,"101,535","3,465",0.00%,0,0,0
2013,96.70%,"29,281","28,315",966,"105,252",3.59,0.00%,"101,779","3,473",0.00%,0,0,0
2014,96.70%,"29,281","28,315",966,"105,252",3.59,0.00%,"101,779","3,473",0.00%,0,0,0
2015,98.10%,"29,758","29,192",565,"106,830",3.59,1.40%,"104,800","2,030",0.13%,"29,758","29,192",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,0.13%,"29,758","29,192",15
