Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,19.13%,"110,129","21,073","89,056","699,022",6.35,,"133,757","565,265",,,,
1971,20.02%,"111,820","22,391","89,429","700,124",6.26,0.89%,"140,194","559,930",,,,
1972,20.95%,"113,536","23,781","89,755","701,227",6.18,0.93%,"146,877","554,350",,,,
1973,21.90%,"115,279","25,245","90,034","702,333",6.09,0.95%,"153,804","548,529",,,,
1974,22.88%,"117,048","26,786","90,262","703,440",6.01,0.98%,"160,980","542,460",,,,
1975,23.90%,"118,845","28,406","90,439","704,549",5.93,1.02%,"168,399","536,150",,,,
1976,24.95%,"120,669","30,107","90,562","705,660",5.85,1.05%,"176,063","529,597",,,,
1977,26.03%,"122,521","31,891","90,630","706,772",5.77,1.08%,"183,966","522,806",,,,
1978,27.14%,"124,402","33,760","90,642","707,886",5.69,1.11%,"192,105","515,781",,,,
1979,28.28%,"126,311","35,715","90,596","709,002",5.61,1.14%,"200,473","508,529",,,,
1980,29.44%,"128,250","37,759","90,491","710,120",5.54,1.16%,"209,072","501,048",0.00%,,,
1981,30.63%,"130,218","39,891","90,327","711,239",5.46,1.19%,"217,881","493,358",0.00%,,,
1982,31.85%,"132,217","42,113","90,104","712,360",5.39,1.22%,"226,897","485,463",0.00%,,,
1983,33.09%,"134,247","44,424","89,823","713,483",5.31,1.24%,"236,100","477,383",0.00%,,,
1984,34.35%,"136,307","46,825","89,482","714,608",5.24,1.26%,"245,486","469,122",0.00%,,,
1985,35.63%,"138,399","49,316","89,083","715,735",5.17,1.28%,"255,039","460,696",0.00%,,,
1986,36.93%,"140,524","51,895","88,629","716,863",5.10,1.30%,"264,735","452,128",0.00%,,,
1987,38.24%,"142,681","54,560","88,121","717,993",5.03,1.31%,"274,554","443,439",0.00%,,,
1988,39.56%,"144,871","57,310","87,561","719,125",4.96,1.32%,"284,481","434,644",0.00%,,,
1989,40.89%,"147,094","60,142","86,952","720,258",4.90,1.33%,"294,490","425,768",0.00%,,,
1990,42.22%,"149,352","63,053","86,299","721,394",4.83,1.33%,"304,556","416,838",0.00%,,,
1991,43.55%,"151,645","66,039","85,606","722,531",4.76,1.33%,"314,651","407,880",0.00%,,,
1992,50.00%,"154,150","77,075","77,075","723,670",4.69,6.45%,"361,835","361,835",0.00%,,,
1993,51.72%,"156,403","80,885","75,518","725,121",4.64,1.72%,"375,002","350,119",0.00%,,,
1994,53.43%,"158,871","84,884","73,987","726,576",4.57,1.71%,"388,206","338,370",0.00%,,,
1995,55.20%,"161,379","89,080","72,299","728,033",4.51,1.77%,"401,869","326,164",0.00%,,,
1996,57.03%,"163,926","93,484","70,442","729,493",4.45,1.83%,"416,017","313,476",0.00%,,,
1997,58.92%,"166,514","98,105","68,409","730,956",4.39,1.89%,"430,657","300,299",0.00%,,,
1998,60.87%,"169,142","102,955","66,187","732,422",4.33,1.95%,"445,818","286,604",0.00%,,,
1999,62.89%,"171,812","108,045","63,767","733,891",4.27,2.02%,"461,512","272,379",0.00%,,,
2000,64.97%,"174,524","113,386","61,138","735,362",4.21,2.08%,"477,755","257,607",0.00%,,,
2001,67.12%,"177,279","118,992","58,287","736,837",4.16,2.15%,"494,575","242,262",0.00%,,,
2002,68.38%,"182,609","124,874","57,735","738,315",4.04,1.26%,"504,884","233,431",0.00%,,,
2003,74.88%,"182,613","136,748","45,865","738,558",4.04,6.50%,"553,062","185,496",0.00%,,,
2004,75.89%,"185,185","140,530","44,655","738,801",3.99,1.01%,"560,649","178,152",0.00%,,,
2005,76.78%,"187,794","144,186","43,608","739,044",3.94,0.89%,"567,429","171,615",0.00%,,,
2006,77.56%,"190,439","147,709","42,730","739,287",3.88,0.78%,"573,409","165,878",0.00%,,,
2007,78.24%,"193,121","151,092","42,029","739,530",3.83,0.68%,"578,586","160,944",0.00%,,,
2008,78.81%,"195,841","154,333","41,508","739,774",3.78,0.57%,"582,981","156,793",0.00%,,,
2009,79.27%,"198,599","157,429","41,170","740,017",3.73,0.46%,"586,610","153,407",0.00%,,,
2010,79.63%,"201,396","160,377","41,019","740,260",3.68,0.36%,"589,489","150,771",0.00%,,,
2011,79.99%,"208,507","166,785","41,722","756,000",3.63,0.36%,"604,725","151,275",0.00%,,,
2012,80.39%,"211,654","170,148","41,506","757,000",3.58,0.40%,"608,550","148,450",0.00%,0,0,0
2013,80.39%,"212,501","170,829","41,671","760,028",3.58,0.00%,"610,987","149,041",0.00%,0,0,0
2014,80.39%,"212,501","170,829","41,671","760,028",3.58,0.00%,"610,987","149,041",0.00%,0,0,0
2015,80.50%,"214,271","172,488","41,783","767,090",3.58,0.11%,"617,507","149,583",1.33%,"214,271","172,488",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,1.33%,"214,271","172,488",15
