Año,% de Cobertura,No. de viviendas ocupadas,No. de viviendas ocupadas electrificadas,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,20.6%,532041,109335,"422,706",4269617,8.02,,"877,411","3,392,206",,,,
1971,20.9%,548383,114448,"433,935",4329991,7.90,0.32%,"903,673","3,426,318",,,,
1972,21.2%,565227,119772,"445,455",4391219,7.77,0.32%,"930,502","3,460,717",,,,
1973,21.5%,582589,125373,"457,216",4453312,7.64,0.33%,"958,352","3,494,960",,,,
1974,21.9%,600483,131206,"469,277",4516283,7.52,0.33%,"986,811","3,529,472",,,,
1975,22.2%,618927,137278,"481,649",4580145,7.40,0.33%,"1,015,876","3,564,269",,,,
1976,22.5%,637938,143664,"494,274",4644910,7.28,0.34%,"1,046,036","3,598,874",,,,
1977,22.9%,657533,150378,"507,155",4710590,7.16,0.35%,"1,077,313","3,633,277",,,,
1978,23.2%,677729,157301,"520,428",4777200,7.05,0.34%,"1,108,789","3,668,411",,,,
1979,23.6%,698546,164647,"533,899",4844751,6.94,0.36%,"1,141,906","3,702,845",,,,
1980,23.9%,720002,172225,"547,777",4913257,6.82,0.35%,"1,175,255","3,738,002",0.00%,,,
1981,24.3%,742117,180186,"561,931",4982732,6.71,0.36%,"1,209,807","3,772,925",0.00%,,,
1982,24.7%,764912,188551,"576,361",5053190,6.61,0.37%,"1,245,613","3,807,577",0.00%,,,
1983,24.8%,796338,197253,"599,085",5176200,6.50,0.12%,"1,282,145","3,894,055",0.00%,,,
1984,24.9%,829056,206352,"622,704",5302205,6.40,0.12%,"1,319,719","3,982,486",0.00%,,,
1985,25.0%,863118,215866,"647,252",5431277,6.29,0.12%,"1,358,364","4,072,913",0.00%,,,
1986,25.1%,898579,225723,"672,856",5563491,6.19,0.11%,"1,397,549","4,165,942",0.00%,,,
1987,25.2%,935497,236120,"699,377",5698924,6.09,0.12%,"1,438,412","4,260,512",0.00%,,,
1988,25.4%,973932,246989,"726,943",5837653,5.99,0.12%,"1,480,428","4,357,225",0.00%,,,
1989,25.5%,1013946,258252,"755,694",5979760,5.90,0.11%,"1,523,045","4,456,715",0.00%,,,
1990,25.6%,1055605,270129,"785,476",6125326,5.80,0.12%,"1,567,469","4,557,857",0.00%,,,
1991,25.7%,1098974,282436,"816,538",6274435,5.71,0.11%,"1,612,528","4,661,907",0.00%,,,
1992,25.8%,1144126,295299,"848,827",6427174,5.62,0.11%,"1,658,854","4,768,320",0.00%,,,
1993,25.9%,1191132,308741,"882,391",6583632,5.53,0.11%,"1,706,475","4,877,157",0.00%,,,
1994,26.0%,1240070,322914,"917,156",6743898,5.44,0.12%,"1,756,110","4,987,788",0.00%,,,
1995,26.1%,1291018,337472,"953,546",6908065,5.35,0.10%,"1,805,768","5,102,297",0.00%,,,
1996,26.3%,1344060,352816,"991,244",7076229,5.26,0.11%,"1,857,511","5,218,718",0.00%,,,
1997,26.4%,1399281,368850,"1,030,431",7248486,5.18,0.11%,"1,910,698","5,337,788",0.00%,,,
1998,26.5%,1456770,385607,"1,071,163",7424937,5.10,0.11%,"1,965,381","5,459,556",0.00%,,,
1999,26.6%,1516622,402966,"1,113,656",7605683,5.01,0.10%,"2,020,828","5,584,855",0.00%,,,
2000,26.7%,1578932,421101,"1,157,831",7790829,4.93,0.10%,"2,077,813","5,713,016",0.00%,,,
