Año,% Cobertura,Viv ocup,Viv elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,31.99%,"400,072","128,000","272,072","2,631,247",6.58,,"841,848","1,789,399",,,,
1971,32.41%,"415,094","134,550","280,544","2,711,271",6.53,0.42%,"878,841","1,832,430",,,,
1972,32.83%,"430,692","141,393","289,299","2,793,729",6.49,0.42%,"917,161","1,876,568",,,,
1973,33.24%,"446,909","148,570","298,339","2,878,694",6.44,0.41%,"956,990","1,921,704",,,,
1974,33.65%,"463,894","156,099","307,795","2,966,244",6.39,0.41%,"998,133","1,968,111",,,,
1975,33.99%,"482,452","164,000","318,452","3,061,360",6.35,0.34%,"1,040,649","2,020,711",,,,
1976,34.34%,"501,778","172,294","329,484","3,159,527",6.30,0.35%,"1,084,877","2,074,650",,,,
1977,34.69%,"521,823","181,004","340,819","3,260,841",6.25,0.35%,"1,131,083","2,129,758",,,,
1978,35.05%,"542,573","190,153","352,420","3,365,404",6.20,0.36%,"1,179,457","2,185,947",,,,
1979,35.40%,"564,275","199,766","364,509","3,473,320",6.16,0.35%,"1,229,633","2,243,687",,,,
1980,35.74%,"587,175","209,870","377,305","3,584,696",6.10,0.34%,"1,281,254","2,303,442",0.00%,,,
1981,36.08%,"611,203","220,495","390,708","3,699,644",6.05,0.34%,"1,334,668","2,364,976",0.00%,,,
1982,36.66%,"631,939","231,670","400,269","3,818,278",6.04,0.58%,"1,399,788","2,418,490",0.00%,,,
1983,37.14%,"655,503","243,428","412,075","3,940,716",6.01,0.48%,"1,463,427","2,477,289",0.00%,,,
1984,37.49%,"682,377","255,804","426,573","4,067,080",5.96,0.35%,"1,524,634","2,542,446",0.00%,,,
1985,37.82%,"710,919","268,835","442,084","4,197,496",5.90,0.33%,"1,587,289","2,610,207",0.00%,,,
1986,38.15%,"740,586","282,558","458,028","4,332,094",5.85,0.33%,"1,652,837","2,679,257",0.00%,,,
1987,38.53%,"770,901","297,015","473,886","4,471,008",5.80,0.38%,"1,722,603","2,748,405",0.00%,,,
1988,38.92%,"802,260","312,250","490,010","4,614,377",5.75,0.39%,"1,795,975","2,818,402",0.00%,,,
1989,39.52%,"830,708","328,308","502,400","4,739,586",5.71,0.60%,"1,873,154","2,866,432",0.00%,,,
1990,40.24%,"857,866","345,239","512,627","4,868,193",5.67,0.72%,"1,959,152","2,909,041",0.00%,,,
1991,41.03%,"885,051","363,093","521,958","5,000,289",5.65,0.79%,"2,051,373","2,948,916",0.00%,,,
1992,41.77%,"914,410","381,925","532,485","5,135,969",5.62,0.74%,"2,145,159","2,990,810",0.00%,,,
1993,42.48%,"945,792","401,790","544,002","5,275,332",5.58,0.71%,"2,241,059","3,034,273",0.00%,,,
1994,43.18%,"979,050","422,748","556,302","5,418,475",5.53,0.70%,"2,339,665","3,078,810",0.00%,,,
1995,45.09%,"1,009,802","455,344","554,458","5,565,503",5.51,1.91%,"2,509,619","3,055,884",0.00%,,,
1996,47.33%,"1,036,694","490,680","546,014","5,716,521",5.51,2.24%,"2,705,700","3,010,821",0.00%,,,
1997,49.76%,"1,063,726","529,340","534,386","5,871,636",5.52,2.43%,"2,921,891","2,949,745",0.00%,,,
1998,50.16%,"1,169,974","586,801","583,173","6,030,960",5.15,0.40%,"3,024,831","3,006,129",0.00%,,,
1999,51.70%,"1,195,341","617,982","577,359","6,194,607",5.18,1.54%,"3,202,564","2,992,043",0.00%,,,
2000,54.89%,"1,206,101","661,973","544,128","6,362,695",5.28,3.19%,"3,492,189","2,870,506",0.00%,,,
2001,57.48%,"1,235,529","710,124","525,405","6,535,344",5.29,2.59%,"3,756,209","2,779,135",0.00%,,,
2002,60.13%,"1,263,304","759,586","503,718","6,667,436",5.28,2.65%,"4,008,925","2,658,511",0.00%,,,
2003,62.09%,"1,299,021","806,563","492,458","6,802,198",5.24,1.96%,"4,223,489","2,578,709",0.00%,,,
2004,64.62%,"1,330,744","859,949","470,795","6,939,683",5.21,2.53%,"4,484,539","2,455,144",0.00%,,,
2005,66.53%,"1,362,727","906,641","456,086","7,079,947",5.20,1.91%,"4,710,386","2,369,561",0.00%,,,
2006,69.13%,"1,430,118","988,696","441,422","7,223,047",5.05,2.60%,"4,993,572","2,229,475",0.00%,,,
2007,72.60%,"1,490,517","1,082,170","408,347","7,369,038",4.94,3.47%,"5,350,192","2,018,846",0.00%,,,
2008,76.41%,"1,524,128","1,164,517","359,611","7,517,981",4.93,3.81%,"5,744,148","1,773,833",0.00%,,,
2009,79.33%,"1,557,698","1,235,732","321,966","7,669,934",4.92,2.92%,"6,084,609","1,585,325",0.00%,,,
2010,81.27%,"1,591,185","1,293,100","298,085","7,824,958",4.92,1.94%,"6,359,068","1,465,890",0.00%,,,
