Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,60.00%,"7,296,580","4,378,060","2,918,520","47,111,007",6.46,,"28,267,327","18,843,680",,,,
1971,60.68%,"7,592,264","4,607,091","2,985,173","48,412,481",6.38,0.68%,"29,377,364","19,035,117",,,,
1972,61.35%,"7,898,970","4,845,959","3,053,011","49,749,909",6.30,0.67%,"30,521,197","19,228,712",,,,
1973,62.83%,"8,217,315","5,162,758","3,054,557","51,124,285",6.22,1.48%,"32,120,262","19,004,023",,,,
1974,64.45%,"8,547,931","5,509,221","3,038,710","52,536,629",6.15,1.62%,"33,860,346","18,676,283",,,,
1975,65.80%,"8,891,467","5,850,798","3,040,669","53,987,990",6.07,1.35%,"35,525,389","18,462,601",,,,
1976,67.21%,"9,248,589","6,215,572","3,033,017","55,479,445",6.00,1.41%,"37,285,308","18,194,137",,,,
1977,68.76%,"9,619,981","6,614,390","3,005,591","57,012,103",5.93,1.55%,"39,199,691","17,812,412",,,,
1978,70.27%,"10,006,345","7,031,771","2,974,574","58,587,102",5.85,1.51%,"41,170,985","17,416,117",,,,
1979,71.61%,"10,408,402","7,453,628","2,954,774","60,205,612",5.78,1.34%,"43,114,230","17,091,382",,,,
1980,73.19%,"10,829,001","7,925,292","2,903,709","61,868,833",5.71,1.58%,"45,279,206","16,589,627",0.00%,,,
1981,76.27%,"11,268,432","8,594,819","2,673,613","63,578,003",5.64,3.08%,"48,493,120","15,084,883",0.00%,,,
1982,79.04%,"11,727,027","9,269,521","2,457,506","65,334,389",5.57,2.77%,"51,642,969","13,691,420",0.00%,,,
1983,82.17%,"12,205,154","10,028,513","2,176,641","67,139,297",5.50,3.13%,"55,165,819","11,973,478",0.00%,,,
1984,85.24%,"12,703,220","10,827,600","1,875,620","68,994,067",5.43,3.07%,"58,807,150","10,186,917",0.00%,,,
1985,88.08%,"13,221,673","11,646,081","1,575,592","70,900,076",5.36,2.84%,"62,451,100","8,448,976",0.00%,,,
1986,87.13%,"13,761,003","11,989,862","1,771,141","72,858,740",5.29,-0.95%,"63,481,291","9,377,449",0.00%,,,
1987,87.77%,"14,321,743","12,570,047","1,751,696","74,871,513",5.23,0.64%,"65,713,959","9,157,554",0.00%,,,
1988,88.28%,"14,904,469","13,157,797","1,746,672","76,939,890",5.16,0.51%,"67,923,215","9,016,675",0.00%,,,
1989,88.66%,"15,509,802","13,751,346","1,758,456","79,065,408",5.10,0.38%,"70,101,203","8,964,205",0.00%,,,
1990,87.52%,"16,035,233","14,033,451","2,001,782","81,249,645",5.07,-1.14%,"71,106,726","10,142,919",0.00%,,,
1991,88.07%,"16,546,130","14,571,621","1,974,509","82,743,216",5.00,0.55%,"72,869,171","9,874,045",0.00%,,,
1992,88.62%,"17,073,304","15,130,429","1,942,875","84,264,243",4.94,0.55%,"74,675,303","9,588,940",0.00%,,,
1993,89.18%,"17,617,275","15,710,667","1,906,608","85,813,230",4.87,0.56%,"76,526,198","9,287,032",0.00%,,,
1994,89.74%,"18,178,577","16,313,156","1,865,421","87,390,691",4.81,0.56%,"78,422,969","8,967,722",0.00%,,,
1995,90.30%,"18,757,763","16,938,751","1,819,012","88,997,149",4.74,0.56%,"80,366,755","8,630,394",0.00%,,,
1996,90.87%,"19,355,402","17,588,336","1,767,066","90,633,139",4.68,0.57%,"82,358,718","8,274,421",0.00%,,,
1997,91.44%,"19,972,082","18,262,832","1,709,250","92,299,202",4.62,0.57%,"84,400,055","7,899,147",0.00%,,,
1998,92.02%,"20,608,410","18,963,195","1,645,215","93,995,892",4.56,0.58%,"86,491,992","7,503,900",0.00%,,,
1999,92.60%,"21,265,013","19,690,416","1,574,597","95,723,770",4.50,0.58%,"88,635,772","7,087,998",0.00%,,,
2000,93.18%,"21,942,535","20,445,525","1,497,010","97,483,412",4.44,0.58%,"90,832,693","6,650,719",0.00%,,,
2001,93.63%,"22,495,119","21,061,798","1,433,321","98,875,741",4.40,0.45%,"92,575,678","6,300,063",0.00%,,,
2002,94.08%,"23,061,619","21,696,646","1,364,973","100,287,957",4.35,0.45%,"94,352,105","5,935,852",0.00%,,,
2003,94.54%,"23,642,386","22,350,631","1,291,755","101,720,343",4.30,0.46%,"96,162,623","5,557,720",0.00%,,,
2004,94.99%,"24,237,778","23,024,328","1,213,450","103,173,187",4.26,0.45%,"98,007,883","5,165,304",0.00%,,,
2005,95.45%,"24,848,164","23,718,331","1,129,833","104,646,782",4.21,0.46%,"99,888,548","4,758,234",0.00%,,,
2006,95.91%,"25,473,921","24,433,254","1,040,667","106,141,424",4.17,0.46%,"101,805,308","4,336,116",0.00%,,,
2007,96.38%,"26,115,437","25,169,725","945,712","107,657,413",4.12,0.47%,"103,758,841","3,898,572",0.00%,,,
2008,96.84%,"26,773,109","25,928,396","844,713","109,195,055",4.08,0.46%,"105,749,864","3,445,191",0.00%,,,
2009,97.31%,"27,447,343","26,709,934","737,409","110,754,659",4.04,0.47%,"107,779,089","2,975,570",0.00%,,,
2010,97.78%,"28,138,556","27,515,030","623,526","112,336,538",3.99,0.47%,"109,847,258","2,489,280",0.00%,,,
2011,98.25%,"28,829,355","28,324,841","504,514","113,591,000",3.94,0.47%,"111,603,156","1,987,844",0.00%,,,
2012,98.72%,"29,476,261","29,098,965","377,296","114,905,000",3.90,0.47%,"113,434,217","1,470,783",0.00%,0,0,0
2013,98.72%,"29,614,799","29,235,730","379,069","115,445,054",3.90,0.00%,"113,967,357","1,477,697",0.00%,0,0,0
2014,98.43%,"29,614,799","29,149,847","464,952","115,445,054",3.90,-0.29%,"113,632,566","1,812,487",0.00%,0,0,0
2015,98.53%,"32,568,518","32,089,761","478,757","127,017,220",3.90,0.10%,"125,150,067","1,867,153",2.74%,"32,568,518","32,089,761",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,2.74%,"32,568,518","32,089,761",15
