Año,% Cobertura,Viv ocup,Viv elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,51.77%,"399,520","206,841","192,679","1,460,965",3.66,,"756,376","704,589",,,,
1971,53.00%,"403,952","214,097","189,855","1,495,344",3.70,1.23%,"792,541","702,803",,,,
1972,54.20%,"408,687","221,526","187,161","1,530,531",3.74,1.20%,"829,614","700,917",,,,
1973,55.38%,"413,749","229,126","184,623","1,566,547",3.79,1.18%,"867,523","699,024",,,,
1974,56.52%,"419,158","236,897","182,261","1,603,410",3.83,1.14%,"906,205","697,205",,,,
1975,57.62%,"424,931","244,834","180,097","1,641,141",3.86,1.10%,"945,582","695,559",,,,
1976,58.67%,"431,081","252,936","178,145","1,679,759",3.90,1.05%,"985,596","694,163",,,,
1977,59.69%,"437,618","261,200","176,418","1,719,287",3.93,1.02%,"1,026,187","693,100",,,,
1978,60.65%,"444,552","269,620","174,932","1,759,744",3.96,0.96%,"1,067,282","692,462",,,,
1979,61.56%,"451,888","278,195","173,693","1,801,154",3.99,0.91%,"1,108,841","692,313",,,,
1980,62.47%,"459,324","286,917","172,407","1,843,537",4.01,0.91%,"1,151,566","691,971",0.00%,,,
1981,63.34%,"466,952","295,783","171,169","1,886,919",4.04,0.87%,"1,195,238","691,681",0.00%,,,
1982,64.19%,"474,852","304,787","170,065","1,931,321",4.07,0.85%,"1,239,632","691,689",0.00%,,,
1983,64.98%,"483,098","313,922","169,176","1,976,767",4.09,0.79%,"1,284,523","692,244",0.00%,,,
1984,65.72%,"491,753","323,183","168,570","2,023,284",4.11,0.74%,"1,329,714","693,570",0.00%,,,
1985,66.40%,"500,872","332,562","168,310","2,070,895",4.13,0.68%,"1,375,004","695,891",0.00%,,,
1986,67.00%,"510,504","342,051","168,453","2,119,626",4.15,0.60%,"1,420,205","699,421",0.00%,,,
1987,67.53%,"520,695","351,644","169,051","2,169,504",4.17,0.53%,"1,465,144","704,360",0.00%,,,
1988,67.99%,"531,482","361,331","170,151","2,220,555",4.18,0.46%,"1,509,657","710,898",0.00%,,,
1989,68.36%,"542,900","371,105","171,795","2,272,808",4.19,0.37%,"1,553,602","719,206",0.00%,,,
1990,68.74%,"556,656","382,628","174,028","2,326,291",4.18,0.38%,"1,599,020","727,271",0.00%,,,
1991,69.91%,"568,060","397,126","170,934","2,373,105",4.18,1.17%,"1,659,018","714,087",0.00%,,,
1992,71.10%,"579,697","412,173","167,524","2,420,860",4.18,1.19%,"1,721,267","699,593",0.00%,,,
1993,72.31%,"591,572","427,790","163,782","2,469,577",4.17,1.21%,"1,785,853","683,724",0.00%,,,
1994,73.55%,"603,691","443,998","159,693","2,519,274",4.17,1.24%,"1,852,856","666,418",0.00%,,,
1995,74.80%,"616,058","460,821","155,237","2,569,971",4.17,1.25%,"1,922,378","647,593",0.00%,,,
1996,76.08%,"628,678","478,282","150,396","2,621,689",4.17,1.28%,"1,994,513","627,176",0.00%,,,
1997,77.37%,"641,557","496,403","145,154","2,674,447",4.17,1.29%,"2,069,346","605,101",0.00%,,,
1998,78.69%,"654,700","515,212","139,488","2,728,266",4.17,1.32%,"2,146,992","581,274",0.00%,,,
1999,80.04%,"668,112","534,733","133,379","2,783,169",4.17,1.35%,"2,227,549","555,620",0.00%,,,
2000,81.40%,"681,799","554,994","126,805","2,839,177",4.16,1.36%,"2,311,130","528,047",0.00%,,,
2001,82.00%,"700,687","574,537","126,150","2,892,162",4.13,0.60%,"2,371,464","520,698",0.00%,,,
2002,82.60%,"720,098","594,769","125,329","2,946,136",4.09,0.60%,"2,433,378","512,758",0.00%,,,
2003,83.20%,"740,047","615,713","124,334","3,001,117",4.06,0.60%,"2,496,905","504,212",0.00%,,,
2004,83.81%,"760,548","637,395","123,153","3,057,124",4.02,0.61%,"2,562,094","495,030",0.00%,,,
2005,84.42%,"781,618","659,840","121,778","3,114,177",3.98,0.61%,"2,628,981","485,196",0.00%,,,
2006,85.04%,"803,271","683,075","120,196","3,172,294",3.95,0.62%,"2,697,614","474,680",0.00%,,,
2007,85.66%,"825,524","707,129","118,395","3,231,496",3.91,0.62%,"2,768,041","463,455",0.00%,,,
2008,86.28%,"848,393","732,029","116,364","3,291,802",3.88,0.62%,"2,840,305","451,497",0.00%,,,
2009,86.91%,"871,896","757,807","114,089","3,353,234",3.85,0.63%,"2,914,458","438,776",0.00%,,,
