Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,31.93%,"347,586","110,987","236,599","2,131,962",6.13,,"680,753","1,451,209",,,,
1971,32.49%,"363,475","118,087","245,388","2,193,308",6.03,0.56%,"712,569","1,480,739",,,,
1972,33.05%,"379,971","125,593","254,378","2,256,418",5.94,0.56%,"745,821","1,510,597",,,,
1973,33.63%,"397,052","133,523","263,529","2,321,345",5.85,0.58%,"780,636","1,540,709",,,,
1974,34.22%,"414,696","141,893","272,803","2,388,140",5.76,0.59%,"817,130","1,571,010",,,,
1975,34.82%,"432,885","150,720","282,165","2,456,857",5.68,0.60%,"855,418","1,601,439",,,,
1976,35.43%,"451,602","160,020","291,582","2,527,551",5.60,0.61%,"895,609","1,631,942",,,,
1977,36.07%,"470,833","169,809","301,024","2,600,279",5.52,0.64%,"937,808","1,662,471",,,,
1978,36.71%,"490,568","180,102","310,466","2,675,100",5.45,0.64%,"982,108","1,692,992",,,,
1979,37.38%,"510,800","190,914","319,886","2,752,074",5.39,0.67%,"1,028,601","1,723,473",,,,
1980,38.05%,"531,521","202,258","329,263","2,831,262",5.33,0.67%,"1,077,371","1,753,891",0.00%,,,
1981,38.74%,"552,732","214,145","338,587","2,912,730",5.27,0.69%,"1,128,479","1,784,251",0.00%,,,
1982,38.82%,"578,714","224,639","354,075","2,996,541",5.18,0.08%,"1,163,165","1,833,376",0.00%,,,
1983,40.48%,"601,786","243,586","358,200","3,092,882",5.14,1.66%,"1,251,911","1,840,971",0.00%,,,
1984,42.21%,"625,778","264,131","361,647","3,192,321",5.10,1.73%,"1,347,428","1,844,893",0.00%,,,
1985,44.01%,"650,726","286,409","364,317","3,294,957",5.06,1.80%,"1,450,235","1,844,722",0.00%,,,
1986,45.90%,"676,668","310,566","366,102","3,400,893",5.03,1.89%,"1,560,886","1,840,007",0.00%,,,
1987,47.86%,"703,646","336,760","366,886","3,510,235",4.99,1.96%,"1,679,974","1,830,261",0.00%,,,
1988,49.91%,"731,698","365,163","366,535","3,623,092",4.95,2.05%,"1,808,149","1,814,943",0.00%,,,
1989,52.04%,"760,869","395,963","364,906","3,739,578",4.91,2.13%,"1,946,110","1,793,468",0.00%,,,
1990,54.27%,"791,203","429,360","361,843","3,859,809",4.88,2.23%,"2,094,592","1,765,217",0.00%,,,
1991,56.59%,"822,746","465,574","357,172","3,983,905",4.84,2.32%,"2,254,405","1,729,500",0.00%,,,
1992,59.01%,"855,547","504,842","350,705","4,111,991",4.81,2.42%,"2,426,408","1,685,583",0.00%,,,
1993,61.49%,"877,162","539,396","337,766","4,203,386",4.79,2.48%,"2,584,801","1,618,585",0.00%,,,
1994,64.08%,"899,324","576,315","323,009","4,296,811",4.78,2.59%,"2,753,531","1,543,280",0.00%,,,
1995,66.78%,"922,045","615,761","306,284","4,392,314",4.76,2.70%,"2,933,279","1,459,035",0.00%,,,
1996,69.59%,"945,340","657,907","287,433","4,489,939",4.75,2.81%,"3,124,762","1,365,177",0.00%,,,
1997,72.53%,"969,224","702,938","266,286","4,589,734",4.74,2.94%,"3,328,744","1,260,990",0.00%,,,
1998,75.58%,"993,711","751,051","242,660","4,691,747",4.72,3.05%,"3,546,042","1,145,705",0.00%,,,
1999,78.76%,"1,018,817","802,457","216,360","4,796,027",4.71,3.18%,"3,777,524","1,018,503",0.00%,,,
2000,82.08%,"1,044,557","857,382","187,175","4,902,625",4.69,3.32%,"4,024,120","878,505",0.00%,,,
2001,85.54%,"1,070,948","916,066","154,882","5,011,593",4.68,3.46%,"4,286,809","724,784",0.00%,,,
2002,89.14%,"1,098,005","978,766","119,239","5,122,982",4.67,3.60%,"4,566,646","556,336",0.00%,,,
2003,93.28%,"1,125,995","1,050,292","75,703","5,218,675",4.63,4.14%,"4,867,813","350,862",0.00%,,,
2004,96.49%,"1,149,652","1,109,259","40,393","5,316,155",4.62,3.21%,"5,129,372","186,783",0.00%,,,
2005,97.75%,"1,173,417","1,146,998","26,419","5,415,457",4.62,1.26%,"5,293,530","121,927",0.00%,,,
2006,98.50%,"1,197,287","1,179,378","17,909","5,516,613",4.61,0.75%,"5,434,096","82,517",0.00%,,,
2007,98.79%,"1,221,271","1,206,533","14,738","5,619,659",4.60,0.29%,"5,551,842","67,817",0.00%,,,
2008,98.86%,"1,245,388","1,231,167","14,221","5,724,629",4.60,0.07%,"5,659,260","65,369",0.00%,,,
2009,98.95%,"1,269,669","1,256,382","13,287","5,831,560",4.59,0.09%,"5,770,533","61,027",0.00%,,,
2010,98.97%,"1,294,165","1,280,842","13,323","5,940,489",4.59,0.02%,"5,879,334","61,155",0.00%,,,
2011,98.99%,"1,434,842","1,420,350","14,492","6,566,710",4.58,0.02%,"6,500,386","66,324",0.00%,,,
2012,99.02%,"1,464,154","1,449,805","14,349","6,681,000",4.56,0.03%,"6,615,525","65,475",0.00%,0,0,0
2013,99.00%,"1,464,593","1,449,947","14,646","6,683,004",4.56,-0.02%,"6,616,174","66,830",0.00%,0,0,0
2014,99.00%,"1,464,300","1,449,657","14,643","6,681,668",4.56,0.00%,"6,614,851","66,817",0.00%,0,0,0
2015,99.33%,"1,455,947","1,446,193","9,755","6,639,120",4.56,0.33%,"6,594,638","44,482",2.18%,"1,455,947","1,446,193",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,2.18%,"1,455,947","1,446,193",15
