Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,53.01%,"711,841","377,330","334,511","4,232,530",5.95,,"2,243,564","1,988,966",,,,
1971,53.91%,"741,540","399,799","341,741","4,340,556",5.85,0.90%,"2,340,197","2,000,359",,,,
1972,54.81%,"772,334","423,350","348,984","4,451,339",5.76,0.90%,"2,439,973","2,011,366",,,,
1973,55.72%,"804,055","448,006","356,049","4,564,949",5.68,0.91%,"2,543,513","2,021,436",,,,
1974,56.54%,"837,930","473,786","364,144","4,681,459",5.59,0.82%,"2,647,011","2,034,448",,,,
1975,57.76%,"866,798","500,704","366,094","4,800,943",5.54,1.22%,"2,773,254","2,027,689",,,,
1976,58.50%,"903,847","528,771","375,076","4,923,476",5.45,0.74%,"2,880,345","2,043,131",,,,
1977,59.23%,"942,082","557,993","384,089","5,049,137",5.36,0.73%,"2,990,592","2,058,545",,,,
1978,59.97%,"981,090","588,371","392,719","5,178,005",5.28,0.74%,"3,105,309","2,072,696",,,,
1979,60.64%,"1,022,331","619,901","402,430","5,310,162",5.19,0.67%,"3,219,872","2,090,290",,,,
1980,61.50%,"1,061,022","652,572","408,450","5,445,692",5.13,0.86%,"3,349,324","2,096,368",0.00%,,,
1981,61.19%,"1,113,447","681,287","432,160","5,584,681",5.02,-0.31%,"3,417,110","2,167,571",0.00%,,,
1982,62.30%,"1,152,173","717,845","434,328","5,710,305",4.96,1.11%,"3,557,724","2,152,581",0.00%,,,
1983,63.44%,"1,192,246","756,365","435,881","5,838,755",4.90,1.14%,"3,704,126","2,134,629",0.00%,,,
1984,64.60%,"1,233,713","796,951","436,762","5,970,094",4.84,1.16%,"3,856,547","2,113,547",0.00%,,,
1985,65.78%,"1,276,622","839,716","436,906","6,104,387",4.78,1.18%,"4,015,246","2,089,141",0.00%,,,
1986,66.98%,"1,321,023","884,775","436,248","6,241,701",4.72,1.20%,"4,180,473","2,061,228",0.00%,,,
1987,68.20%,"1,366,969","932,252","434,717","6,382,104",4.67,1.22%,"4,352,498","2,029,606",0.00%,,,
1988,69.44%,"1,414,513","982,277","432,236","6,525,666",4.61,1.24%,"4,531,603","1,994,063",0.00%,,,
1989,70.71%,"1,463,710","1,034,986","428,724","6,672,456",4.56,1.27%,"4,718,078","1,954,378",0.00%,,,
1990,72.00%,"1,514,619","1,090,523","424,096","6,822,549",4.50,1.29%,"4,912,223","1,910,326",0.00%,,,
1991,73.31%,"1,567,298","1,149,041","418,257","6,976,018",4.45,1.31%,"5,114,363","1,861,655",0.00%,,,
1992,74.65%,"1,621,809","1,210,698","411,111","7,132,939",4.40,1.34%,"5,324,816","1,808,123",0.00%,,,
1993,76.01%,"1,678,216","1,275,665","402,551","7,293,390",4.35,1.36%,"5,543,936","1,749,454",0.00%,,,
