Año,% Cobertura,Viv ocup,Viv elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,33.97%,"641,002","217,748","423,254","3,493,461",5.45,,"1,186,727","2,306,734",,,,
1971,34.10%,"655,120","223,400","431,720","3,554,648",5.43,0.13%,"1,212,157","2,342,491",,,,
1972,35.39%,"668,152","236,456","431,696","3,616,907",5.41,1.99%,"1,280,007","2,336,900",,,,
1973,36.73%,"681,443","250,275","431,168","3,680,256",5.40,1.99%,"1,351,655","2,328,601",,,,
1974,38.12%,"694,998","264,902","430,096","3,744,714",5.39,1.99%,"1,427,317","2,317,397",,,,
1975,39.56%,"708,823","280,384","428,439","3,810,302",5.38,1.99%,"1,507,214","2,303,088",,,,
1976,41.05%,"722,923","296,770","426,153","3,877,038",5.36,1.99%,"1,591,578","2,285,460",,,,
1977,42.60%,"737,304","314,115","423,189","3,944,943",5.35,1.99%,"1,680,671","2,264,272",,,,
1978,44.21%,"751,970","332,472","419,498","4,014,038",5.34,1.99%,"1,774,745","2,239,293",,,,
1979,45.88%,"766,929","351,903","415,026","4,084,342",5.33,1.99%,"1,874,088","2,210,254",,,,
1980,47.62%,"782,185","372,469","409,716","4,155,878",5.31,1.99%,"1,978,989","2,176,889",0.00%,,,
1981,49.42%,"797,744","394,238","403,506","4,228,667",5.30,1.99%,"2,089,770","2,138,897",0.00%,,,
1982,51.29%,"813,613","417,278","396,335","4,302,731",5.29,1.99%,"2,206,743","2,095,988",0.00%,,,
1983,53.23%,"829,797","441,665","388,132","4,378,092",5.28,1.99%,"2,330,269","2,047,823",0.00%,,,
1984,55.24%,"846,304","467,477","378,827","4,454,773",5.26,1.99%,"2,460,704","1,994,069",0.00%,,,
1985,57.33%,"863,139","494,798","368,341","4,532,797",5.25,1.99%,"2,598,445","1,934,352",0.00%,,,
1986,59.49%,"880,309","523,715","356,594","4,612,188",5.24,1.99%,"2,743,891","1,868,297",0.00%,,,
1987,61.74%,"897,820","554,323","343,497","4,692,969",5.23,1.99%,"2,897,486","1,795,483",0.00%,,,
1988,64.07%,"915,679","586,719","328,960","4,775,165",5.21,1.99%,"3,059,675","1,715,490",0.00%,,,
1989,66.50%,"933,894","621,009","312,885","4,858,800",5.20,1.99%,"3,230,943","1,627,857",0.00%,,,
1990,69.01%,"952,472","657,302","295,170","4,943,901",5.19,1.99%,"3,411,792","1,532,109",0.00%,,,
1991,71.62%,"971,418","695,717","275,701","5,030,491",5.18,1.99%,"3,602,773","1,427,718",0.00%,,,
1992,74.33%,"990,742","736,377","254,365","5,118,599",5.17,1.99%,"3,804,440","1,314,159",0.00%,,,
1993,75.48%,"1,010,450","762,648","247,802","5,158,094",5.10,1.99%,"3,893,127","1,264,967",0.00%,,,
1994,76.64%,"1,030,550","789,856","240,694","5,197,893",5.04,1.99%,"3,983,879","1,214,014",0.00%,,,
1995,77.83%,"1,051,050","818,035","233,015","5,238,000",4.98,1.99%,"4,076,749","1,161,251",0.00%,,,
1996,79.03%,"1,071,958","847,219","224,739","5,278,416",4.92,1.99%,"4,171,781","1,106,635",0.00%,,,
1997,80.26%,"1,093,281","877,445","215,836","5,319,144",4.87,1.99%,"4,269,036","1,050,108",0.00%,,,
1998,81.50%,"1,115,029","908,749","206,280","5,360,186",4.81,1.99%,"4,368,553","991,633",0.00%,,,
1999,82.70%,"1,138,052","941,169","196,883","5,401,545",4.75,2.06%,"4,467,078","934,467",0.00%,,,
2000,84.50%,"1,153,546","974,746","178,800","5,443,223",4.72,1.36%,"4,599,522","843,701",0.00%,,,
2001,87.10%,"1,159,037","1,009,521","149,516","5,485,222",4.73,0.48%,"4,777,627","707,595",0.00%,,,
2002,87.50%,"1,194,900","1,045,537","149,363","5,527,546",4.63,3.09%,"4,836,600","690,946",0.00%,,,
2003,87.00%,"1,244,641","1,082,838","161,803","5,570,196",4.48,4.16%,"4,846,072","724,124",0.00%,,,
2004,87.40%,"1,283,146","1,121,469","161,677","5,613,175",4.37,3.09%,"4,905,912","707,263",0.00%,,,
2005,87.50%,"1,327,404","1,161,479","165,925","5,656,486",4.26,3.45%,"4,949,427","707,059",0.00%,,,
2006,89.20%,"1,348,560","1,202,916","145,644","5,700,131",4.23,1.59%,"5,084,519","615,612",0.00%,,,
2007,91.10%,"1,367,542","1,245,831","121,711","5,744,113",4.20,1.41%,"5,232,888","511,225",2.26%,2.5%,3.5%,
2008,91.00%,"1,531,782","1,393,922","137,860","5,771,676",3.77,12.01%,"5,252,227","519,449",0.00%,,,
2009,91.10%,"1,529,696","1,393,553","136,143","5,799,372",3.79,-0.14%,"5,283,228","516,144",0.00%,,,
2010,91.60%,"1,584,840","1,451,713","133,127","5,827,200",3.68,3.60%,"5,337,714","489,486",0.00%,,,
2011,92.10%,"1,645,263","1,515,287","129,976","6,252,000",3.80,3.81%,"5,758,091","493,909",0.00%,,,
2012,92.50%,"1,690,270","1,563,500","126,770","6,254,000",3.70,2.74%,"5,784,951","469,049",0.00%,0,0,0
2013,92.50%,"1,736,508","1,606,270","130,238","6,425,081",3.70,2.74%,"5,943,200","481,881",0.00%,0,0,0
2014,95.00%,"1,784,011","1,694,811","89,201","6,600,843",3.70,2.74%,"6,270,801","330,042",0.00%,0,0,0
2015,95.40%,"1,655,832","1,579,664","76,168","6,126,580",3.70,-7.18%,"5,844,757","281,823",2.24%,"1,655,832","1,579,664",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,4.50%,"1,655,832","1,579,664",15
