Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,67.14%,"66,328","44,533","21,795","373,509",5.63,,"250,776","122,733",,,,
1971,68.12%,"67,494","45,976","21,518","376,546",5.58,0.98%,"256,498","120,048",,,,
1972,69.08%,"68,681","47,442","21,239","379,607",5.53,0.96%,"262,217","117,390",,,,
1973,71.17%,"68,752","48,928","19,824","376,472",5.48,2.09%,"267,920","108,552",,,,
1974,73.28%,"68,823","50,434","18,389","373,363",5.42,2.11%,"273,603","99,760",,,,
1975,75.42%,"68,894","51,959","16,935","370,279",5.37,2.14%,"279,260","91,019",,,,
1976,77.58%,"68,965","53,500","15,465","367,221",5.32,2.16%,"284,874","82,347",,,,
1977,79.75%,"69,037","55,056","13,981","364,189",5.28,2.17%,"290,435","73,754",,,,
1978,81.94%,"69,108","56,627","12,481","361,181",5.23,2.19%,"295,951","65,230",,,,
1979,84.14%,"69,179","58,209","10,970","358,198",5.18,2.20%,"301,397","56,801",,,,
1980,86.76%,"69,251","60,079","9,172","355,240",5.13,2.62%,"308,190","47,050",0.00%,,,
1981,86.52%,"70,860","61,307","9,553","360,119",5.08,-0.24%,"311,570","48,549",0.00%,,,
1982,86.28%,"72,506","62,561","9,945","365,065",5.03,-0.24%,"314,992","50,073",0.00%,,,
1983,86.05%,"74,191","63,840","10,351","370,078",4.99,-0.23%,"318,445","51,633",0.00%,,,
1984,85.81%,"75,914","65,146","10,768","375,161",4.94,-0.24%,"321,946","53,215",0.00%,,,
1985,85.58%,"77,678","66,478","11,200","380,313",4.90,-0.23%,"325,478","54,835",0.00%,,,
1986,85.35%,"79,483","67,837","11,646","385,536",4.85,-0.23%,"329,047","56,489",0.00%,,,
1987,85.12%,"81,329","69,224","12,105","390,831",4.81,-0.23%,"332,660","58,171",0.00%,,,
1988,84.88%,"83,219","70,640","12,579","396,199",4.76,-0.24%,"336,311","59,888",0.00%,,,
1989,84.65%,"85,152","72,084","13,068","401,640",4.72,-0.23%,"340,002","61,638",0.00%,,,
1990,84.42%,"87,131","73,558","13,573","407,156",4.67,-0.23%,"343,730","63,426",0.00%,,,
1991,84.19%,"89,155","75,062","14,093","412,748",4.63,-0.23%,"347,504","65,244",0.00%,,,
1992,83.96%,"91,226","76,597","14,629","418,417",4.59,-0.23%,"351,320","67,097",0.00%,,,
1993,83.73%,"93,346","78,163","15,183","424,163",4.54,-0.23%,"355,172","68,991",0.00%,,,
1994,83.51%,"95,514","79,761","15,753","429,989",4.50,-0.22%,"359,071","70,918",0.00%,,,
1995,83.28%,"97,734","81,392","16,342","435,894",4.46,-0.23%,"363,009","72,885",0.00%,,,
1996,83.05%,"100,004","83,056","16,948","441,880",4.42,-0.23%,"366,993","74,887",0.00%,,,
1997,82.83%,"102,328","84,755","17,573","447,949",4.38,-0.22%,"371,022","76,927",0.00%,,,
1998,82.60%,"104,705","86,488","18,217","454,101",4.34,-0.23%,"375,095","79,006",0.00%,,,
1999,82.38%,"107,138","88,256","18,882","460,338",4.30,-0.22%,"379,208","81,130",0.00%,,,
2000,82.15%,"109,627","90,061","19,566","466,660",4.26,-0.23%,"383,371","83,289",0.00%,,,
2001,81.93%,"112,174","91,902","20,272","473,069",4.22,-0.22%,"387,576","85,493",0.00%,,,
2002,81.71%,"114,780","93,782","20,998","479,566",4.18,-0.22%,"391,834","87,732",0.00%,,,
2003,81.48%,"117,446","95,699","21,747","486,152",4.14,-0.23%,"396,133","90,019",0.00%,,,
2004,81.26%,"120,175","97,656","22,519","492,829",4.10,-0.22%,"400,480","92,349",0.00%,,,
2005,83.67%,"122,499","102,492","20,007","497,695",4.06,2.41%,"416,410","81,285",0.00%,,,
2006,85.11%,"124,868","106,281","18,587","502,610",4.03,1.44%,"427,795","74,815",0.00%,,,
2007,86.40%,"127,282","109,978","17,304","507,573",3.99,1.29%,"438,568","69,005",0.00%,,,
2008,87.50%,"129,744","113,524","16,220","512,585",3.95,1.10%,"448,504","64,081",0.00%,,,
2009,88.36%,"132,253","116,861","15,392","517,646",3.91,0.86%,"457,401","60,245",0.00%,,,
2010,88.97%,"134,810","119,940","14,870","522,758",3.88,0.61%,"465,096","57,662",0.00%,,,
2011,89.58%,"135,641","121,507","14,134","529,000",3.90,0.61%,"473,877","55,123",0.00%,,,
2012,90.34%,"136,923","123,696","13,227","534,000",3.90,0.76%,"482,415","51,585",0.00%,0,0,0
2013,90.34%,"137,964","124,636","13,327","538,058",3.90,0.00%,"486,082","51,976",0.00%,0,0,0
2014,90.34%,"137,964","124,636","13,327","538,058",3.90,0.00%,"486,082","51,976",0.00%,0,0,0
2015,90.34%,"139,226","125,776","13,449","542,980",3.90,0.00%,"490,528","52,452",1.29%,"139,226","125,776",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,1.29%,"139,226","125,776",15
