Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,82.04%,"189,417","155,406.53","34,010","945,210.00",4.99,,"775,494","169,716",,,,
1971,82.48%,"193,132","159,294.71","33,837","957,876.34",4.96,0.44%,"790,054","167,823",,,,
1972,82.87%,"196,920","163,194.16","33,726","970,712.42",4.93,0.39%,"804,462","166,251",,,,
1973,83.23%,"200,782","167,100.80","33,681","983,720.51",4.90,0.36%,"818,701","165,019",,,,
1974,83.53%,"204,719","171,010.51","33,708","996,902.92",4.87,0.30%,"832,756","164,147",,,,
1975,83.80%,"208,734","174,919.15","33,815","1,010,261.97",4.84,0.27%,"846,600","163,662",,,,
1976,84.02%,"212,828","178,822.59","34,005","1,023,800.05",4.81,0.22%,"860,218","163,582",,,,
1977,84.20%,"217,002","182,716.72","34,285","1,037,519.54",4.78,0.18%,"873,596","163,923",,,,
1978,84.33%,"221,258","186,597.48","34,661","1,051,422.88",4.75,0.13%,"886,715","164,708",,,,
1979,84.43%,"225,597","190,460.85","35,136","1,065,512.54",4.72,0.10%,"899,562","165,951",,,,
1980,84.47%,"230,021","194,302.90","35,718","1,079,791.00",4.69,0.04%,"912,119","167,672",0.00%,,,
1981,84.61%,"234,153","198,119.77","36,033","1,092,491.46",4.67,0.14%,"924,371","168,121",0.00%,,,
1982,84.71%,"238,360","201,907.71","36,452","1,105,341.29",4.64,0.10%,"936,302","169,039",0.00%,,,
1983,84.76%,"242,641","205,663.09","36,978","1,118,342.27",4.61,0.05%,"947,910","170,433",0.00%,,,
1984,85.03%,"247,000","210,026.42","36,974","1,131,496.16",4.58,0.27%,"962,122","169,374",0.00%,,,
1985,85.28%,"251,437","214,427.12","37,010","1,144,804.77",4.55,0.25%,"976,297","168,508",0.00%,,,
1986,85.51%,"255,953","218,857.45","37,096","1,158,269.92",4.53,0.23%,"990,401","167,869",0.00%,,,
1987,85.71%,"260,551","223,309.19","37,242","1,171,893.44",4.50,0.20%,"1,004,389","167,504",0.00%,,,
1988,85.88%,"265,232","227,773.65","37,458","1,185,677.20",4.47,0.17%,"1,018,226","167,452",0.00%,,,
1989,86.02%,"269,996","232,241.74","37,754","1,199,623.08",4.44,0.14%,"1,031,877","167,746",0.00%,,,
1990,87.78%,"274,846","241,248.62","33,597","1,213,733.00",4.42,1.76%,"1,065,365","148,368",0.00%,,,
1991,88.12%,"277,619","244,642.01","32,977","1,218,510.77",4.39,0.34%,"1,073,770","144,741",0.00%,,,
1992,88.47%,"280,420","248,083.13","32,337","1,223,307.35",4.36,0.35%,"1,082,241","141,067",0.00%,,,
1993,88.82%,"283,250","251,572.66","31,677","1,228,122.81",4.34,0.35%,"1,090,775","137,347",0.00%,,,
1994,89.17%,"286,108","255,111.26","30,997","1,232,957.23",4.31,0.35%,"1,099,380","133,578",0.00%,,,
1995,89.52%,"288,994","258,699.64","30,294","1,237,810.68",4.28,0.35%,"1,108,055","129,756",0.00%,,,
1996,89.87%,"291,910","262,338.50","29,572","1,242,683.23",4.26,0.35%,"1,116,795","125,888",0.00%,,,
1997,90.22%,"294,856","266,028.53","28,827","1,247,574.96",4.23,0.35%,"1,125,602","121,973",0.00%,,,
1998,90.58%,"297,831","269,770.47","28,061","1,252,485.95",4.21,0.36%,"1,134,481","118,005",0.00%,,,
1999,90.94%,"300,836","273,565.05","27,271","1,257,416.27",4.18,0.36%,"1,143,431","113,985",0.00%,,,
2000,91.29%,"303,871","277,413.00","26,458","1,262,366.00",4.15,0.35%,"1,152,452","109,914",0.00%,,,
2001,90.75%,"306,871","278,475.19","28,396","1,267,063.09",4.13,-0.54%,"1,149,817","117,246",0.00%,,,
2002,91.82%,"309,901","284,537.99","25,363","1,271,777.65",4.10,1.07%,"1,167,692","104,085",0.00%,,,
2003,92.80%,"312,960","290,418.54","22,541","1,276,509.76",4.08,0.98%,"1,184,567","91,943",0.00%,,,
2004,93.68%,"316,050","296,065.52","19,984","1,281,259.47",4.05,0.88%,"1,200,243","81,017",0.00%,,,
2005,94.44%,"319,171","301,431.04","17,740","1,286,026.86",4.03,0.76%,"1,214,548","71,479",0.00%,,,
2006,95.08%,"322,322","306,472.47","15,850","1,290,811.98",4.00,0.64%,"1,227,339","63,473",0.00%,,,
2007,95.59%,"325,504","311,154.17","14,350","1,295,614.92",3.98,0.51%,"1,238,498","57,117",0.00%,,,
2008,95.96%,"328,718","315,448.92","13,269","1,300,435.72",3.96,0.37%,"1,247,942","52,494",0.00%,,,
2009,96.20%,"331,963","319,338.85","12,624","1,305,274.46",3.93,0.24%,"1,255,636","49,638",0.00%,,,
2010,96.29%,"335,240","322,815.95","12,424","1,310,131.20",3.91,0.09%,"1,261,578","48,554",0.00%,,,
2011,96.38%,"344,246","331,784","12,462","1,346,000",3.91,0.09%,"1,297,274","48,726",0.00%,,,
2012,96.56%,"345,524","333,638.26","11,886","1,351,000",3.91,0.18%,"1,304,527","46,473",0.00%,0,0,0
2013,96.56%,"346,146","334,239","11,907","1,353,432",3.91,0.00%,"1,306,874","46,558",0.00%,0,0,0
2014,98.00%,"346,146","339,223","6,923","1,353,432",3.91,1.44%,"1,326,363","27,069",0.00%,0,0,0
2015,98.00%,"347,849","340,892","6,957","1,360,090",3.91,0.00%,"1,332,888","27,202",0.86%,"347,849","340,892",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,0.86%,"347,849","340,892",15
