Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,75.18%,"718,765","540,392","178,373","2,740,007",3.81,,"2,060,031","679,976",,,,
1971,76.08%,"725,003","551,596","173,407","2,749,623",3.79,0.90%,"2,091,965","657,658",,,,
1972,76.92%,"731,106","562,393","168,713","2,759,274",3.77,0.84%,"2,122,533","636,741",,,,
1973,77.78%,"737,084","573,294","163,790","2,768,958",3.76,0.86%,"2,153,658","615,300",,,,
1974,77.57%,"742,951","576,319","166,632","2,778,677",3.74,-0.21%,"2,155,464","623,213",,,,
1975,79.00%,"749,900","592,400","157,500","2,788,429",3.72,1.43%,"2,202,781","585,648",,,,
1976,79.89%,"756,917","604,671","152,246","2,804,677",3.71,0.89%,"2,240,545","564,132",,,,
1977,80.78%,"764,000","617,196","146,804","2,821,021",3.69,0.89%,"2,278,957","542,064",,,,
1978,81.69%,"771,149","629,980","141,169","2,837,459",3.68,0.91%,"2,318,025","519,434",,,,
1979,82.61%,"778,365","643,029","135,336","2,853,993",3.67,0.92%,"2,357,763","496,230",,,,
1980,83.54%,"785,648","656,348","129,300","2,870,624",3.65,0.93%,"2,398,184","472,440",0.00%,,,
1981,84.48%,"792,999","669,944","123,055","2,887,351",3.64,0.94%,"2,439,301","448,050",0.00%,,,
1982,85.43%,"800,420","683,821","116,599","2,904,176",3.63,0.95%,"2,481,118","423,058",0.00%,,,
1983,86.39%,"807,910","697,985","109,925","2,921,099",3.62,0.96%,"2,523,652","397,447",0.00%,,,
1984,87.37%,"815,469","712,443","103,026","2,938,120",3.60,0.98%,"2,566,919","371,201",0.00%,,,
1985,88.35%,"823,100","727,200","95,900","2,955,241",3.59,0.98%,"2,610,924","344,317",0.00%,,,
1986,89.01%,"833,001","741,428","91,573","2,973,616",3.57,0.66%,"2,646,722","326,894",0.00%,,,
1987,89.67%,"843,021","755,934","87,087","2,992,104",3.55,0.66%,"2,683,009","309,095",0.00%,,,
1988,90.34%,"853,161","770,724","82,437","3,010,708",3.53,0.67%,"2,719,797","290,911",0.00%,,,
1989,91.01%,"863,423","785,803","77,620","3,029,427",3.51,0.67%,"2,757,088","272,339",0.00%,,,
1990,91.69%,"873,809","801,178","72,631","3,048,263",3.49,0.68%,"2,794,891","253,372",0.00%,,,
