Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1970,76.90%,"1,756,109","1,350,448","405,661","10,361,045",5.90,,"7,967,645","2,393,400",,,,
1971,76.78%,"1,844,078","1,415,883","428,195","10,721,522",5.81,-0.12%,"8,231,984","2,489,538",,,,
1972,76.75%,"1,944,532","1,492,520","452,012","11,051,410",5.68,-0.03%,"8,482,478","2,568,932",,,,
1973,76.78%,"2,049,036","1,573,306","475,730","11,391,448",5.56,0.03%,"8,746,666","2,644,782",,,,
1974,76.81%,"2,159,158","1,658,464","500,694","11,741,949",5.44,0.03%,"9,019,071","2,722,878",,,,
1975,76.84%,"2,275,197","1,748,232","526,965","12,103,234",5.32,0.03%,"9,299,969","2,803,265",,,,
1976,76.87%,"2,397,473","1,842,858","554,615","12,475,636",5.20,0.03%,"9,589,608","2,886,028",,,,
1977,76.89%,"2,526,320","1,942,606","583,714","12,859,496",5.09,0.02%,"9,888,270","2,971,226",,,,
1978,76.92%,"2,662,092","2,047,754","614,338","13,255,167",4.98,0.03%,"10,196,237","3,058,930",,,,
1979,76.95%,"2,805,161","2,158,592","646,569","13,663,012",4.87,0.03%,"10,513,788","3,149,224",,,,
1980,76.98%,"2,955,918","2,275,430","680,488","14,083,406",4.76,0.03%,"10,841,236","3,242,170",0.00%,,,
1981,77.01%,"3,114,778","2,398,592","716,186","14,516,735",4.66,0.03%,"11,178,878","3,337,857",0.00%,,,
1982,76.77%,"3,212,231","2,465,951","746,280","14,877,450",4.63,-0.24%,"11,421,054","3,456,396",0.00%,,,
1983,76.53%,"3,312,733","2,535,201","777,532","15,247,128",4.60,-0.24%,"11,668,473","3,578,655",0.00%,,,
1984,76.29%,"3,416,379","2,606,396","809,983","15,625,992",4.57,-0.24%,"11,921,254","3,704,738",0.00%,,,
1985,76.05%,"3,523,268","2,679,591","843,677","16,014,270",4.55,-0.24%,"12,179,515","3,834,755",0.00%,,,
1986,75.82%,"3,633,501","2,754,840","878,661","16,412,196",4.52,-0.23%,"12,443,364","3,968,832",0.00%,,,
1987,75.58%,"3,747,183","2,832,204","914,979","16,820,010",4.49,-0.24%,"12,712,937","4,107,073",0.00%,,,
1988,75.35%,"3,864,422","2,911,739","952,683","17,237,957",4.46,-0.23%,"12,988,341","4,249,616",0.00%,,,
1989,75.11%,"3,985,329","2,993,508","991,821","17,666,289",4.43,-0.24%,"13,269,714","4,396,575",0.00%,,,
1990,74.88%,"4,110,019","3,077,574","1,032,445","18,105,265",4.41,-0.23%,"13,557,186","4,548,079",0.00%,,,
1991,76.59%,"4,199,889","3,216,861","983,028","18,520,368",4.41,1.71%,"14,185,482","4,334,886",0.00%,,,
1992,78.35%,"4,291,725","3,362,452","929,273","18,944,989",4.41,1.76%,"14,842,893","4,102,096",0.00%,,,
1993,80.14%,"4,385,569","3,514,632","870,937","19,379,344",4.42,1.79%,"15,530,770","3,848,574",0.00%,,,
1994,81.98%,"4,481,464","3,673,699","807,765","19,823,659",4.42,1.84%,"16,250,528","3,573,131",0.00%,,,
1995,83.85%,"4,579,457","3,839,966","739,491","20,278,160",4.43,1.87%,"17,003,641","3,274,519",0.00%,,,
1996,85.77%,"4,679,592","4,013,758","665,834","20,743,082",4.43,1.92%,"17,791,660","2,951,422",0.00%,,,
1997,87.74%,"4,781,917","4,195,415","586,502","21,218,663",4.44,1.97%,"18,616,195","2,602,468",0.00%,,,
1998,89.74%,"4,886,479","4,385,294","501,185","21,705,147",4.44,2.00%,"19,478,944","2,226,203",0.00%,,,
1999,91.80%,"4,993,328","4,583,767","409,561","22,202,786",4.45,2.06%,"20,381,677","1,821,109",0.00%,,,
2000,93.90%,"5,102,513","4,791,222","311,291","22,711,834",4.45,2.10%,"21,326,244","1,385,590",0.00%,,,
2001,96.05%,"5,214,085","5,008,066","206,019","23,232,553",4.46,2.15%,"22,314,588","917,965",0.00%,,,
2002,96.88%,"5,363,261","5,196,082","167,179","23,597,412",4.40,0.83%,"22,861,854","735,558",0.00%,,,
2003,96.45%,"5,516,705","5,320,906","195,799","23,968,001",4.34,-0.43%,"23,117,328","850,673",0.00%,,,
2004,96.26%,"5,674,540","5,462,319","212,221","24,344,410",4.29,-0.19%,"23,433,958","910,452",0.00%,,,
2005,96.29%,"5,836,890","5,620,286","216,604","24,726,731",4.24,0.03%,"23,809,135","917,596",0.00%,,,
2006,96.51%,"6,003,884","5,794,309","209,575","25,115,056",4.18,0.22%,"24,238,376","876,680",0.00%,,,
