,year,country,perc_cob,perc_no_cob
0,1970,Argentina,62.91,37.09
1,1971,Argentina,64.71,35.29
2,1972,Argentina,66.49,33.51
3,1973,Argentina,68.23,31.77
4,1974,Argentina,69.94,30.06
5,1975,Argentina,71.6,28.4
6,1976,Argentina,73.23,26.77
7,1977,Argentina,74.81,25.19
8,1978,Argentina,76.33,23.67
9,1979,Argentina,77.81,22.19
10,1980,Argentina,79.22,20.78
11,1981,Argentina,80.57,19.43
12,1982,Argentina,81.88,18.12
13,1983,Argentina,83.14,16.86
14,1984,Argentina,84.33,15.67
15,1985,Argentina,85.45,14.55
16,1986,Argentina,86.49,13.51
17,1987,Argentina,87.44,12.56
18,1988,Argentina,88.31,11.69
19,1989,Argentina,89.08,10.92
20,1990,Argentina,89.75,10.25
21,1991,Argentina,89.63,10.37
22,1992,Argentina,90.6,9.4
23,1993,Argentina,91.48,8.52
24,1994,Argentina,92.28,7.72
25,1995,Argentina,93.0,7.0
26,1996,Argentina,93.63,6.37
27,1997,Argentina,94.18,5.82
28,1998,Argentina,94.64,5.36
29,1999,Argentina,95.03,4.97
30,2000,Argentina,95.27,4.73
31,2001,Argentina,94.43,5.57
32,2002,Argentina,94.6,5.4
33,2003,Argentina,94.78,5.22
34,2004,Argentina,94.95,5.05
35,2005,Argentina,95.12,4.88
36,2006,Argentina,95.3,4.7
37,2007,Argentina,95.47,4.53
38,2008,Argentina,95.65,4.35
39,2009,Argentina,95.82,4.18
40,2010,Argentina,96.0,4.0
41,2011,Argentina,96.18,3.82
42,2012,Argentina,96.35,3.65
43,2013,Argentina,95.0,5.0
44,2014,Argentina,98.79,1.21
45,2015,Argentina,98.79,1.21
46,1970,Barbados,53.06,46.94
47,1971,Barbados,55.38,44.62
48,1972,Barbados,57.72,42.28
49,1973,Barbados,60.07,39.93
50,1974,Barbados,62.42,37.58
51,1975,Barbados,64.75,35.25
52,1976,Barbados,67.06,32.94
53,1977,Barbados,69.33,30.67
54,1978,Barbados,71.57,28.43
55,1979,Barbados,73.77,26.23
56,1980,Barbados,75.9,24.1
57,1981,Barbados,77.95,22.05
58,1982,Barbados,79.93,20.07
59,1983,Barbados,81.82,18.18
60,1984,Barbados,83.63,16.37
61,1985,Barbados,85.35,14.65
62,1986,Barbados,86.97,13.03
63,1987,Barbados,88.49,11.51
64,1988,Barbados,89.91,10.09
65,1989,Barbados,91.22,8.78
66,1990,Barbados,92.58,7.42
67,1991,Barbados,92.94,7.05
68,1992,Barbados,93.31,6.69
69,1993,Barbados,93.68,6.32
70,1994,Barbados,94.05,5.95
71,1995,Barbados,94.42,5.58
72,1996,Barbados,94.79,5.21
73,1997,Barbados,95.17,4.83
74,1998,Barbados,95.54,4.46
75,1999,Barbados,95.92,4.08
76,2000,Barbados,96.3,3.7
77,2001,Barbados,96.66,3.34
78,2002,Barbados,97.09,2.91
79,2003,Barbados,97.47,2.53
80,2004,Barbados,97.81,2.19
81,2005,Barbados,98.11,1.89
82,2006,Barbados,98.38,1.62
83,2007,Barbados,98.61,1.39
84,2008,Barbados,98.82,1.18
85,2009,Barbados,98.99,1.01
86,2010,Barbados,99.14,0.86
87,2011,Barbados,99.29,0.71
88,2012,Barbados,99.5,0.5
89,2013,Barbados,99.5,0.5
90,2014,Barbados,99.5,0.5
91,2015,Barbados,99.8,0.2
92,1970,Belize,32.53,67.47
93,1971,Belize,34.04,65.96
94,1972,Belize,35.59,64.41
95,1973,Belize,37.19,62.81
96,1974,Belize,38.84,61.16
97,1975,Belize,40.52,59.48
98,1976,Belize,42.24,57.76
99,1977,Belize,44.0,56.0
100,1978,Belize,45.78,54.21
101,1979,Belize,47.59,52.41
102,1980,Belize,49.41,50.59
103,1981,Belize,51.26,48.74
104,1982,Belize,53.1,46.9
105,1983,Belize,54.94,45.06
106,1984,Belize,56.76,43.24
107,1985,Belize,58.56,41.44
108,1986,Belize,60.33,39.67
109,1987,Belize,62.06,37.94
110,1988,Belize,63.73,36.26
111,1989,Belize,65.35,34.65
112,1990,Belize,66.97,33.03
113,1991,Belize,67.15,32.85
114,1992,Belize,68.69,31.31
115,1993,Belize,70.27,29.73
116,1994,Belize,71.88,28.12
117,1995,Belize,73.53,26.47
118,1996,Belize,75.21,24.79
119,1997,Belize,76.93,23.07
120,1998,Belize,78.7,21.3
121,1999,Belize,80.5,19.5
122,2000,Belize,81.66,18.34
123,2001,Belize,81.1,18.9
124,2002,Belize,81.31,18.69
125,2003,Belize,81.51,18.49
126,2004,Belize,81.7,18.3
127,2005,Belize,81.89,18.11
128,2006,Belize,84.63,15.37
129,2007,Belize,84.7,15.3
130,2008,Belize,85.43,14.57
131,2009,Belize,85.42,14.58
132,2010,Belize,89.1,14.64
133,2011,Belize,92.94,7.06
134,2012,Belize,93.0,7.0
135,2013,Belize,93.0,7.0
136,2014,Belize,93.0,7.0
137,2015,Belize,93.0,7.0
138,1970,Bolivia,30.0,70.0
139,1971,Bolivia,30.52,69.48
140,1972,Bolivia,31.05,68.95
141,1973,Bolivia,31.6,68.4
142,1974,Bolivia,32.15,67.85
143,1975,Bolivia,32.72,67.28
144,1976,Bolivia,33.93,66.07
145,1977,Bolivia,34.59,65.41
146,1978,Bolivia,35.26,64.74
147,1979,Bolivia,35.94,64.06
148,1980,Bolivia,36.64,63.36
149,1981,Bolivia,37.34,62.66
150,1982,Bolivia,38.07,61.93
151,1983,Bolivia,38.8,61.2
152,1984,Bolivia,39.55,60.45
153,1985,Bolivia,40.32,59.68
154,1986,Bolivia,41.1,58.9
155,1987,Bolivia,41.89,58.11
156,1988,Bolivia,42.7,57.3
157,1989,Bolivia,43.53,56.47
158,1990,Bolivia,44.37,55.63
159,1991,Bolivia,45.23,54.77
160,1992,Bolivia,46.1,53.9
161,1993,Bolivia,47.16,52.84
162,1994,Bolivia,48.24,51.76
163,1995,Bolivia,49.35,50.65
164,1996,Bolivia,50.48,49.52
165,1997,Bolivia,51.64,48.36
166,1998,Bolivia,52.82,47.18
167,1999,Bolivia,54.03,45.97
168,2000,Bolivia,55.27,44.73
169,2001,Bolivia,56.54,43.46
170,2002,Bolivia,58.53,41.47
171,2003,Bolivia,60.58,39.42
172,2004,Bolivia,62.71,37.29
173,2005,Bolivia,64.91,35.09
174,2006,Bolivia,67.18,32.82
